# --- 1.0: Разговор насчёт следующего фильма в студии

	10.aa.0@101@t-mk-1@Привет, Макс. Кажется, пришло время кое-что обсудить. У тебя есть время?|Hi, Max. Hast du Zeit, unseren nächsten Film zu diskutieren?
	10.ae.33@62@Так. Ещё слово и я тебя накажу, а потом твой брат покажет что он знает о сексе. Думаю, ты ещё пожалеешь, что отказалсь от этого испытания...|Noch ein Wort und ich werde dich bestrafen! Und dann wird dein Bruder zeigen, was <i>er</i> beim Sexpraktikum gelernt hat. Du wirst es bereuen, diese Prüfung nicht bestanden zu haben.
		10.ae.34^		<i>далее</i>|<i>fortfahren</i>

	10.ae.34@23@a-studio-15@Но он такой огромный! Я даже в порно таких не видела, что мне с ним делать?|Aber er ist so groß! So etwas habe ich noch nie gesehen, nicht einmal in Pornos! Was soll ich damit machen?
		10.ae.35^		<i>далее</i>|<i>fortfahren</i>

	10.ae.35@60@Вот видишь, а говоришь, что всё знаешь. И тебе надо его не просто засунуть, а ласкать, чтобы ему было приятно. Ну, не только твоему брату, а любому мужчине, с которым ты будешь вместе... Давай, приступай!|Hast du mir nicht gerade gesagt, dass du alles weißt? Komm schon, zeig mir, dass du weißt, wie man einen Mann zufrieden stellt. Du wirst diese Fähigkeit in deinem Leben brauchen. Fang jetzt an!
		10.ae.36^		<i>далее</i>|<i>fortfahren</i>

	10.ae.36@67@a-studio-16@Вот, молодец... А говорила, не влезет. Тебе не нужно заталкивать его глубоко, пока достаточно ласкать головку его члена. Глубокий минет - это уже искусство, которому на ваших уроках точно не научат... Продолжай!|Großartig. Siehst du, es passt ohne Probleme. Du musst es nicht so tief schieben, du kannst dich einfach auf den Kopf konzentrieren. Deep Throating ist eine Kunst, ich glaube nicht, dass sie im Sexunterricht unterrichten....
		10.ae.37^		<i>далее</i>|<i>fortfahren</i>

	10.ae.37@75@a-studio-17@Молодец, дочка, получается уже намного лучше... Нежнее, больше ласки. Представь, что это твой любимый мужчина и ты хочешь, чтобы ему было хорошо... Да, молодец...|Gute Arbeit, Tochter, es geht dir jetzt viel besser. Bleib sanft und fürsorglich. Du liebst einen Mann und willst ihn so glücklich wie möglich machen.... Gute Arbeit....
		10.ae.38^		<i>далее</i>|<i>fortfahren</i>

	10.ae.38@23@a-studio-14@Мам, но он такой огромный... У меня аж челюсть свело... И за что ему такое счастье? Он же надо мной издевается постоянно, а я должна ему отсасывать?!|Aber er ist so groß.... Mein Kiefer tut weh. Warum sollte ich ihm gefallen, er behandelt mich schrecklich!
		10.ae.39^		<i>далее</i>|<i>fortfahren</i>

	10.ae.39@62@Это не имеет значения. Мы проверяем твои способности. И, если честно, тебе ещё есть куда расти... Зря ты прогуливала эти ваши уроки сексуального образования... Ладно, присаживайтесь на диван...|Es spielt keine Rolle, das ist eine Prüfung und du kannst es besser machen. Du hättest deinen Sexunterricht nicht auslassen sollen.... Aber okay, du kannst dich auf eine Couch setzen.
		10.ae.40^		<i>далее</i>|<i>fortfahren</i>

	10.ae.40@60@a-studio-19@Что же делать. Ты уже почти взрослая и если не научишься вовремя всему, что нужно, то можешь упустить мужчину своей мечты...|Was jetzt zu tun ist.... Du bist erwachsen, wenn du das nicht lernst, verpasst du vielleicht deinen perfekten Mann....
		10.ae.41^		<i>далее</i>|<i>fortfahren</i>

	10.ae.41@22@И что мне делать? Не репетитора же нанимать для этих уроков? Может быть, ты и покажешь, раз знаешь как надо?|Welche Möglichkeiten habe ich? Es ist ja nicht so, dass ich dafür einen Nachhilfelehrer finden könnte. Vielleicht solltest du es mir zeigen.
		10.ae.42^				Ого... Это было бы круто...|Das wäre so erstaunlich....
		10.ae.42!add_wro_1^		Секс-репетитор? Гы...|Heh, Sex-Tutor....

	10.ae.42@69@a-studio-20@Может быть и покажу. Да и не думаю, что бывают репетиторы по этому предмету... Ладно, что ещё делать...|Vielleicht werde ich das. Ja ja, dafür bekommst du keinen Nachhilfelehrer.... Was sollte ich sonst tun....
		10.ae.43^		<i>вот это поворот!</i>|<i>Das ist eine interessante Wendung der Ereignisse....</i>

	10.ae.43@21@a-studio-21@Мам, я вообще-то пошутила. Ты же не будешь сосать член у своего сына?|Das war ein Witz, Mom. Du wirst doch nicht den Schwanz deines Sohnes lutschen, oder?
		10.ae.44^		<i>далее</i>|<i>fortfahren</i>

	10.ae.44@60@А я не шутила. Это всё очень серьёзно. Смотри внимательно и запоминай. Во-первых, важно не забывать про его яички. Их нужно ласкать нежно и аккуратно. Член же нужно держать крепко, смотри...|Das war kein Witz, das ist eine ernste Sache. Sieh zu und lerne. Erstens, vergiss die Eier nicht und sei vorsichtig mit ihnen. Den Schwanz, andererseits, kannst du fest halten....
		10.ae.45^		<i>далее</i>|<i>fortfahren</i>

	10.ae.45@4@a-studio-22@<i>Вот этого я точно не ожидал от мамы! Ох... Вот это я понимаю минет. Да, Алисе ещё нужно тренироваться... Надеюсь, на мне!</i>|<i>Das habe ich nicht erwartet! Das ist ein Blowjob! Alice braucht viel Übung, um dieses Niveau zu erreichen.... Ich hoffe, sie übt es an mir!</i>
		10.ae.46^		<i>далее</i>|<i>fortfahren</i>

	10.ae.46@5@a-studio-23@<i>Интересно, о чём сейчас думает Алиса? И почему она улыбается? Это по сценарию или её и правда заводит это всё? И ещё... Почему я до сих пор не кончил? Неужели, та таблетка работает?</i>|<i>Ich frage mich, was Alice gerade denkt.... Sie lächelt.... Ist das im Drehbuch und genießt sie es?\n\nUnd warum bin ich noch nicht gekommen? Wirkt die Pille so?</i>
		10.ae.47^		<i>далее</i>|<i>fortfahren</i>

	10.ae.47@62@a-studio-20@Ну что, всё поняла? Надеюсь, этот урок был для тебя полезен. Я поговорю с твоим учителем, чтобы тебя не выгоняли из школы. Домашнее образование тоже бывает эффективно...|Verstehst du es jetzt? Ich hoffe, es war eine wertvolle Lektion für dich. Denk daran, dass es nur für heute zu Hause unterrichtet wird. Ich rede mit deinem Lehrer, damit du nicht ausgeschlossen wirst.
		10.ae.48^				Мне одеваться?|Soll ich mich anziehen?
		10.ae.48!add_wro_1^		Ну, я пошёл?|Soll ich gehen?

	10.ae.48@60@a-studio-19@Нет, сынок. Теперь мы посмотрим, чему ты научился на этих уроках в школе. Ты же сказал, что не прогуливаешь и ходишь на все занятия, верно?|Nein, mein Sohn. Wir werden sehen, was du in deiner Klasse gelernt hast. Du hast gesagt, du vermisst sie nicht.
		10.ae.49^				Верно, м?м...|Ja, Mom
		10.ae.49!add_wro_1^		Ну, почти...|Was muss ich tun?

	10.ae.49@23@a-studio-24@Мам, я не поняла... Мне пришлось ему отсасывать, а он... что он может показать, чему он там научился?|Ich verstehe nicht.... Wenn ich ihm einen blasen müsste, wie soll er dann sein Können zeigen?
		10.ae.50!add_wro_1^		Сейчас кто-то почувствует кое-что...|Jemand wird es auf die harte Tour lernen!
		10.ae.50^				А вот сейчас и узнаешь!|Oh, du wirst sehen....

	10.ae.50@60@a-studio-25@Верно. Вот мы и узнаем. Дочка, снимай юбку и трусы...|Tochter, zieh deinen Rock und dein Höschen aus.
		10.ae.51^		<i>далее</i>|<i>fortfahren</i>

	10.ae.51@24@Что?! Мам, что ты задумала? Зачем мне перед ним раздеваться?! Ты же не хочешь сказать, что он меня...|Was!? Was soll ich tun, Mom? Bitte sag mir nicht, dass er....
		10.ae.52^		<i>далее</i>|<i>fortfahren</i>

	10.ae.52@62@Хочу сказать, что он тебя... А вот что именно, сейчас узнаешь. Бегом сняла юбку и трусы!|Du wirst wissen, was er tun wird, wenn du deinen Rock und dein Höschen fallen lässt!
