# --- 0.7: Диалог с Кирой насчёт прогресса по маме

	07.abc.0.init@0@Ну, как с мамой спится?|Also, wie ist es, mit Mom zu schlafen?
		07.abi.7^		А на площадке ещё больше посторонних людей!|Aber das Filmset wird immer voller Fremder sein.

	07.abi.5@60@Кира, но ты же говоришь, что там приличная студия. У них же наверняка есть и фотографы и операторы. Зачем Максу связываться с этим бизнесом?|Hast du nicht gesagt, es ist ein großes Studio? Ich bin sicher, sie haben Fotografen und Angestellte. Warum müssen wir Max da mit reinziehen?
		07.abi.6^		Блин...|Mist...
	07.abi.6@100@Ань, давай для начала съездим и пройдём кастинг, а там посмотрим, что получится. Хорошо?|Lass uns nichts überstürzen, Ann. Wir sollten das Casting machen und sicherstellen, dass wir den Job zuerst bekommen, meinst du nicht?
		07.abi.7^		<i>далее</i>|<i>fortfahren</i>

	07.abi.7@69@Ну, да, ты права. Я что-то слишком далеко забежала вперёд. Да и не факт, что меня ещё возьмут. Я в таком возрасте...|Ja, du hast Recht. Vielleicht stellen sie mich nicht mal ein, mit meinem Alter und so....
		07.abi.8^		В каком?!|Was meinst du damit!?
		07.abi.8^		Мам, ты выглядишь чудесно!|Du siehst großartig aus, Mom!

	07.abi.8@73@Макс, ну в таких делах обычно юные 18-летние девушки снимаются, как я понимаю... Я мать троих детей, куда мне с ними тягаться...|Pornostars sind normalerweise Teenager, oder? Und hier bin ich, Mutter von drei Kindern, wie soll ich mit ihnen konkurrieren....?
		07.abi.9^		Да ты стоишь их всех вместе взятых!|Du bist besser als alle zusammen!

	07.abi.9@67@Ого... Спасибо тебе, сынок. Приятно такое слышать. Ладно, Кира, поехали, пока я не передумала...|Danke, mein Sohn. Ich bin froh, das zu hören. Okay, Kira, gehen wir, bevor ich meine Meinung ändere....
		leave!momkiraout!set_mshy_2!set_afcm_1!set_afck_1!set_dcd.momlust_3!set_momlust_14^			Удачи вам!|Viel Glück!



# --- 0.7: Диалог с мамой после кастинга

	07.abj.0.init@0@Ну, мам, как кастинг?|Also, wie war's beim Casting, Mom?
	07.abj.0@69@Ох, сынок... Я даже не знаю, стоит ли рассказывать...|Ich weiß nicht mal, ob ich es dir sagen soll....
		07.abj.1^		Конечно, стоит!|Natürlich solltest du das!

	07.abj.1@73@В общем, прошло всё ужасно. Мне так стыдно никогда не было... Даже когда мы с Кирой это делали у тебя на глазах, было не так. А тут столько людей... Пришлось раздеться и...|Es war schrecklich. Der peinlichste Moment in meinem Leben.... Selbst als wir es vor Ihnen taten, war es anders. Da waren so viele Leute.... Ich musste mich ausziehen und....
		07.abj.2^		И? Получилось?|Und? Hast du den Job bekommen?
		07.abj.2^		Ты же лучшая! Значит, всё получилось, верно?|Du bist die Beste! Also, ich schätze, alles lief gut?

	07.abj.2@69@Не знаю, получилось или нет. Я даже не поняла кто меня оценивал - столько людей... Спасибо Кире, что она как-то взяла инициативу и мне подсказывала что и как. В какой-то момент мы так увлеклись, что... Ладно, не стоит точно тебе об этом говорить...|Ich habe keine Ahnung. Ich weiß nicht einmal, wer für diese Entscheidung verantwortlich war, es waren so viele Leute.... Kira hat mir aber geholfen, sie hat das Kommando übernommen und mir gesagt, was ich tun soll. Irgendwann kamen wir so in Fahrt, dass wir.... Das musst du aber nicht wissen.
		07.abj.3^		Ну мам...|Komm schon, Mom....

	07.abj.3@60@Всё, Макс. Дальше пытай свою тётю. Кира аж в припрыжку домой шла, видимо, довольная осталась. А вот чем - у неё надо спросить...|Das ist alles, was ich dir sagen werde. Du kannst deine Tante mit den Details belästigen. Kira war so glücklich, dass sie den ganzen Weg nach Hause hüpfte. Ich muss sie fragen, was sie so glücklich gemacht hat.
		07.abj.4^		Видимо, всё хорошо...|Ich schätze, alles lief gut.

	07.abj.4@69@Похоже на то, но... я не знаю, это всё же совсем не то, о чём я мечтала... Да и какая я мать после этого...|Vielleicht. Ich weiß nicht, es ist nicht das, was ich wollte.... Was für eine Mutter bin ich nach all dem....
		07.abj.5^		Мать, которая сделает всё для своих детей, верно?|Eine Mutter, die bereit ist, alles für ihre Kinder zu tun!

	07.abj.5@67@Верно. Спасибо, Макс. Ладно, ты прав. Раз уж всё настолько далеко зашло... Может быть, мне к психоаналитику какому-нибудь обратиться, как думаешь?|Richtig. Danke, Max. Die Dinge gerieten so außer Kontrolle.... Vielleicht sollte ich einen Psychiater suchen, was meinst du?
		07.abj.6^		Э... зачем?|Warum?

	07.abj.6@69@Ну, он или она мне подскажет как быть, что правильно, а что нет. А то я совсем запуталась...|Der kann mich wieder in Ordnung bringen, ich kann nicht mehr richtig von falsch unterscheiden....
		07.abj.7a^		Тебе это не нужно!|Das brauchst du nicht!
		07.abj.7b^		Это хорошая идея!|Gute Idee!

	07.abj.7b@67@Ты тоже так думаешь? Ну, может быть и попробую... Хотя, это же такие деньги. Я вообще без работы и когда это всё принесёт ощутимые деньги - не ясно до конца... Ладно, посмотрим...|Denkst du, ja? Vielleicht versuche ich es.... Aber es ist so teuer. Ich habe nicht mal einen richtigen Job und ich weiß nicht, wie viel ich davon bekomme.... Wir werden sehen....
		07.abj.7^		У тебя есть я!|Du hast mich!

	07.abj.7a@60@Почему, Макс? Вдруг, свежий взгляд со стороны мне поможет? С другой стороны... Это всё так дорого и я не слышала, чтобы кому-то из знакомых это помогло... Эх, ладно, посмотрим...|Warum, Max? Was, wenn mir eine neue Meinung seitens dieser Person helfen kann? Auf der anderen Seite.... Es ist sehr teuer und ich kenne niemanden, dem es danach besser gehen würde.... Wir werden sehen, schätze ich.
		07.abj.7^		У тебя есть я!|Du hast mich!

	07.abj.7@75@Это верно. И я очень рада, что мы с тобой стали намного ближе. Раньше мы с тобой как-то не особо общались и я не думала, что смогу с кем-то из своих детей говорить на такие темы...|Das stimmt, das tue ich. Ich bin sehr froh, dass wir uns näher gekommen sind. Wir haben noch nie wirklich miteinander gesprochen. Ich hätte nie gedacht, dass ich mit meinen Kindern über so etwas reden könnte.
		07.abj.8^		Ну, я мужчина!|Nun, ich bin ein Mann

	07.abj.8@67@Да, это как раз я уже поняла. Немного озабоченный, но что поделать, какая мать...|Doch, das bist du. Etwas pervers, aber mit einer Mutter wie dieser....
		07.abj.9^		Отличная мама!|Du bist eine tolle Mutter!

	07.abj.9@69@Ладно, ещё раз спасибо, Макс, что поболтал со мной.|Okay, danke nochmal für die Unterstützung, Max.
		leave!set_poss.car_4!set_afcm_2!set_dcd.momlust_2^			Всегда пожалуйста, мам!|Ist mir ein Vergnügen, Mom.



# --- 0.7: Диалог с Кирой после кастинга

	07.abk.0.init@0@Ну что, как кастинг?|Also, wie war das Casting?
	07.abk.0@113@Ой, Макс... Всё прошло просто чудесно! Всем понравилась твоя мама. Кстати, она отличная актриса, когда хочет... Я даже задумалась насчёт её этих ужимок и стеснений, может быть себе цену набивала?|Alles lief großartig! Alle haben deine Mom geliebt. Sie kann eine großartige Darstellerin sein, wenn sie will. Ich fragte mich sogar für eine Sekunde, ob sie so schüchtern ist, um eine bessere Bezahlung zu bekommen.
