# --- 0.5: Диалог с мамой Кати через ноутбук|Gespräch mit Kates Mutter auf dem Laptop

		leave!set_poss.wallet_51!set_can.findmoro_1!can!time^			<i>Вот это поворот! Нужно срочно на него что-то нарыть!</i>|<i>Was zum Teufel ist hier los? Ich muss der Sache auf den Grund gehen!</i>



# --- 0.5: Разговор с Кирой по поводу прав Эрика после телефонного разговора|Gespräch mit Kira über Erics Telefongespräch

	05.kvm.0.init@0@Мне очень неудобно, но опять требуется твоя помощь!|Es tut mir leid, dass ich wieder fragen muss, aber ich brauche wirklich deine Hilfe!
	05.kvm.0@101@А на сей раз что, Макс? Опять проблемы с девочками?|Was diesmal, Max? Schon wieder Mädchenprobleme?
		05.kvm.1^	Теперь всё серьезно. Вот, взгляни. Не узнаёшь?|Nein, das ist ernst. Sieh dir das an. Kommt dir das bekannt vor?

	05.kvm.1@104@Эрик? Но почему здесь стоит имя какого-то Моро?!|Eric? Aber warum steht neben seinem Namen Moro?
		05.kvm.2^		Вот это я и хочу выяснить.|Das will ich herausfinden.

	05.kvm.2@103@Не буду спрашивать, где ты взял эти права. Ситуация и правда серьёзная. Какого рода информация тебя интересует?|Ich will nicht wissen, woher du das hast. Das ist wirklich ernst. Welche Art von Informationen suchst du?
		05.kvm.3^		Я хочу знать, кто такой этот Виктор Моро, где жил, в чём замешан, и как на него можно надавить.|Ich will alles über Victor Moro wissen. Wer er ist, wo kam er her, wie konnte ich ihn unter Druck setzen?

	05.kvm.3@101@Ты не думаешь, что обвинишь его в чём-то и тебя отправят в лагерь, например? Лично я не хочу терять ни тебя, ни твоего маленького "дружка". Хотя не такой уж он и маленький. Вот чёрт! Я снова сказала это вслух.|Hast du keine Angst, dass du ins Lager geschickt wirst, wenn du ihm etwas vorwirfst? Ich will dich oder deinen kleinen Freund nicht verlieren. Nicht, dass er klein wäre.... Ich sollte aufhören, das laut zu sagen....
		05.kvm.4^		А ещё похоже, что у него есть кто-то и он хочет забрать наш дом!|Es sieht auch so aus, als hätte er schon jemanden und er ist nur wegen unseres Hauses hier!

	05.kvm.4@113@С чего ты взял? Ты точно не выдумал?|Woher weißt du das?
		05.kvm.5^		Я сам слышал его разговор по телефону!|Ich habe ihn mit jemandem am Telefon reden hören.

	05.kvm.5@101@Может быть, ты не так что-то понял?|Bist du sicher, dass es kein Missverständnis war?
		05.kvm.6^		"пока, любимая. Скоро моя собачонка вернётся", а мама в это время была в душе!|"Bye, meine Liebe, meine Schlampe wird bald zurück sein", und Mom war zu der Zeit im Bad!

	05.kvm.6@100@Ого. Это всё меняет. Ладно, есть у меня разные знакомые, но такие услуги денег стоят, а я сейчас на мели... Так что...|Wow. Das ist wirklich ernst. Okay, ich werde mich erkundigen, aber so etwas braucht Geld, und ich habe im Moment keins....
		05.kvm.7^		Деньги будут!|Ich besorge dir das Geld!

	05.kvm.7@101@Хорошо. Давай права, я выясню для начала настоящие они или нет, а также кто этот... Виктор Моро...|Okay. Gib mir den Ausweis, ich stelle sicher, dass er echt ist und fange an, das zu untersuchen.... Victor Moro....
		leave!set_poss.wallet_52!set_item.wallet_4!set_dcd.ericphone_4^			Держи...|Hier...



# --- 0.5: Кира кое-что узнала и даёт контакты хакера|Kira hat etwas gelernt und gibt Hackermans Kontaktinformationen.

	05.kpra.0.init@0@Как успехи, тётя Кира?|Irgendwelche Fortschritte?
	05.kpra.0@101@Я точно выяснила, что права настоящие. Значит, он никакой не Эрик, а Виктор... Но больше ничего толком не удалось найти...|Ich weiß ganz sicher, dass der Ausweis nicht gefälscht ist. Also ist er Victor, nicht Eric.... Aber das ist alles, was ich erfahren habe.
		05.kpra.1^		Блин, что же делать...|Mist, was nun?

	05.kpra.1@114@Ты не переживай. Я подняла кое-какие старые контакты и нашла вот этот. Хакер, зарабатывающий продажей различной информации. Свяжись с ним. Думаю, он поможет. Вот тогда тебе деньги и пригодятся.|Mach dir keine Sorgen. Ich habe einen Kumpel. Er ist ein Hacker, er bekommt persönliche Informationen heraus und er ist genau der, den wir jetzt brauchen. Ich denke, er wird dir helfen. Und da wirst du das Geld brauchen.
		leave!set_item.wallet_-5!set_poss.wallet_53^			Спасибо! Я знал, что могу на тебя расчитывать!|Danke! Ich wusste, dass ich auf dich zählen kann!



# --- 0.5: Первый разговор с хакером|Erstes Gespräch mit einem Hacker

	05.ahack.0@125@m-unknown@Эй, ты кто такой? Я вам деньги в прошлую пятницу отдал! Скажи своим дружкам, чтобы валили нахрен, у меня больше ничего нет!|Hey, wer zum Teufel bist du? Ich habe dir das Geld letzten Freitag gegeben! Sag deinen Freunden, sie sollen verschwinden, ich habe nichts mehr übrig!
		05.ahack.1^		Э... Нет, мне нужна информация...|Em.... Nein, ich brauche Informationen....

	05.ahack.1@125@Ты точно не... Чёрт! Похоже, что пронесло! Первая хорошая новость за сегодня! Ладно, чем могу помочь? Кстати, ты откуда про меня узнал?|Oh, dann falscher Alarm. Erste gute Nachrichten für heute! Okay, wie kann ich dir helfen? Woher wusstest du übrigens von mir?
		05.ahack.2^		Я от Киры...|Kira sagte mir....

	05.ahack.2@125@Так сразу бы и сказал, а то я чуть в штаны не наложил... Ладно, говори что нужно, я всё сделаю...|Du hättest wirklich damit anfangen sollen. Wie auch immer, sag mir, was du brauchst.
		05.ahack.3^		У меня есть права на имя Виктора Моро. Нужно узнать всё о нём...|Ich habe den Ausweis von Victor Moro und ich muss alles über ihn wissen....

	05.ahack.3@125@Прямо всё всё? Ты представляешь сколько разных баз данных существует, где только человек может засветиться? Если собирать всё, то жизни не хватит, потому-что пока я ищу, он следит... Врубаешься?|Alles? Hast du eine Ahnung, wie viele Datenbanken es gibt, wo er sein kann? Es würde ein Leben lang dauern, alles zu bekommen....
		05.ahack.4^		Так вы поможете?|Kannst du mir helfen oder nicht?

	05.ahack.4@125@Конечно, говно вопрос. $500 стандартная такса. Завтра всё будет. Но если это какой-то криминал, будет дороже. Усёк? Деньги потребуются, если я что-то найду. Если нет, то $500 всё равно будешь должен. Лады?|Natürlich, kein Problem. $500 ist die Standardgebühr. Ich besorge dir morgen alles. Aber wenn er schmutzig ist, kostet es extra. Ich werde nach Geld fragen, wenn ich etwas finde. Aber selbst wenn ich nichts finde, schuldest du mir noch $500, Deal?
		leave!set_poss.wallet_54!set_dcd.ericphone_1^			Ладно...|Deal...



# --- 0.5: Второй разговор с хакером, периодический если нет денег|Zweites Gespräch mit dem Hacker/periodischen Ereignis, wenn Max nicht genug Geld hat.

	05.ahack2.0@125@m-unknown@Даров. Инфу на Моро я нашёл. Даже больше, чем хотел. Но я предупреждал, так что с тебя $2000.|Hi. Ich habe einige Informationen über Moro, sogar mehr, als ich erwartet habe. Aber du schuldest mir $2000.
		05.ahack2.1^								У меня нет денег сейчас...|Ich habe im Moment nicht so viel Geld bei mir.
		money>1999&05.ahack2.2!add_money_-2000^		Держи $2000|Hier sind $2000

	05.ahack2.1@125@Тогда какого хрена ты меня отвлекаешь? Всё, вали. Найдёшь деньги, тогда и пиши. Тоже мне... клиент...|Warum belästigst du mich dann? Hau ab. Dann schreib mir, wann du das Geld bekommst. Was für ein Kunde....
