# --- 0.4: (новое из 0.4: массаж, в конце) Разговор с Алисой, когда она одна загорает|Alice sonnt sich.

	alisa.talk.solar.init@0@Загораешь?|Sonnenbaden?
	alisa.talk.aboutblog.together.try@20@Попробовать можно, но сначала надо понять что. Ты пока ничего конкретного не предложил. Когда будут идеи, тогда и подходи...|Jetzt gibt es nichts mehr zu bereden. Zuerst musst Du einige Ideen vorschlagen
		leave!max_talk.blog_2^											Ладно, когда будут идеи, обсудим...|Okay, wir reden später....



# --- Разговор с Алисой по поводу книг|Erstes Gespräch über Bücher

	alisa.talk.aboutbooks.init@0@Что читаешь?|Was ließt Du da?
	alisa.talk.aboutbooks@23@Книжку, очевидно...|Ein Buch, offensichtlich
		alisa.talk.aboutbooks.cap^						Спасибо, кэп!|Danke, Chef!
		alisa.talk.aboutbooks.cap^						Очень смешно...|Sehr lustig....
		alisa.talk.aboutbooks.so^						Это понятно, а какую? Только не говори, что бумажную...|Das sehe ich, aber welche? Und sag mir nicht, dass Du eine Zeitung hast....

	alisa.talk.aboutbooks.cap@21@Так чего хотел, Макс?|Was willst du, Max?
		alisa.talk.aboutbooks.cap.what^					Хотел узнать что именно читаешь...|Ich will wissen, was du da liest.

	alisa.talk.aboutbooks.so@21@Ну вот... Хотела пошутить, и ты так меня обломал... А если серьёзно, то чего хотел?|Aw, ich wollte gerade sagen.... Aber ernsthaft, was willst du?
		alisa.talk.aboutbooks.cap.what^					Да вот и хотел узнать, что именно читаешь...|Ich will nur wissen, was du liest.

	alisa.talk.aboutbooks.cap.what@22@Забавно. А тебе не всё равно? Или делать нечего?|Warum interessiert dich das? Hast du nichts Besseres zu tun?
		alisa.talk.aboutbooks.cap.what.so^				Не всё равно, раз спрашиваю|Nun, da ich frage, natürlich kümmert es mich.
		alisa.talk.aboutbooks.cap.what.so^				Так ты скажешь или нет?|Sagst du es mir oder nicht?

	alisa.talk.aboutbooks.cap.what.so@20@Не скажу. Сиди теперь и гадай!\n\n<i>Алиса прикрыла обложку рукой</i>|Ich werde es nicht sagen. Ich schätze, du wirst mit deiner Unwissenheit leben müssen.\n\n<i>Alice hat den Titel des Buches abgedeckt.</i>
		alisa.talk.aboutbooks.cap.what.so.1^			Какой-то дамский роман?|Ein Frauenroman?
		alisa.talk.aboutbooks.cap.what.so.1^			Какие-то сопли с сахаром?|Ein dummer Liebesroman?
		alisa.talk.aboutbooks.cap.what.so.1^			Неужели справочник по квантовой механике?|Ein Buch über Quantenmechanik?

	alisa.talk.aboutbooks.cap.what.so.1@21@Думай, что хочешь, а я всё равно не скажу.\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Denk, was Du willst, ich sage nichts.\n\n<color=lime><i><b>Achtung:</b> Eine neue "Chance" wurde gefunden!</i></color>
		leave!set_poss.secretbook_1^					Ну и ла?но!|Schön!!



# --- Попытка подарить Алисе первую эротическую книжку|Das erste erotische Buch schenken

	alisa.talk.giftbook.1.init@0@У меня для тебя одна книжка...|Ich habe ein Buch für Dich....
	alisa.talk.giftbook.1@22@У тебя для меня подарок? У ТЕБЯ... для МЕНЯ? Какая прелесть. Давай, показывай, что за книжка?|Hast du ein Geschenk für mich? Wie schön. Komm schon, zeig mir das Buch!
		alisa.talk.giftbook.1.show!set_item.erobook.1_1!set_next.availablebook_2!set_dcd.alisabook_2!set_poss.secretbook_4!add_alisa.mood_100^			Держи...|Hier

	alisa.talk.giftbook.1.show@21@Прикольно... Давно хотела её почитать. А ты как узнал, что мне такие нравятся?|Cool.... Ich wollte es lange Zeit lesen. Woher wusstest du, dass ich die mag?
		alisa.talk.giftbook.1.show.found^										Порылся в твоих вещах и нашёл, что читаешь!|Ich durchstöberte deine Sachen und fand, was du liest!
		alisa.talk.giftbook.1.show.guess^										Ну, я догадался! Я же умный|Ich habe geraten. Weißt du nicht, wie böse ich bin?
		alisa.talk.giftbook.1.show.try^											Я и не знал. Просто угадал видимо...|Ich wusste es nicht, ich habe nur erraten.

	alisa.talk.giftbook.1.show.found@29@Что?! Да как ты посмел?!|Was?! Wie kannst du es wagen!?
		alisa.talk.giftbook.1.show.found.joke^									Да я пошутил. Просто угадал!|Das war ein Witz. Ich dachte nur, es würde dir gefallen.

	alisa.talk.giftbook.1.show.found.joke@23@Шуточки у тебя, как и прежде, дурацкие! А книжку я возьму. Молодец, что угадал... Спасибо.|Deine Witze sind gruselig. Ich nehme aber das Buch. Gute Arbeit, um zu erraten, was ich mag. Ich danke Dir.
		leave^																	Не за что|Es ist mir ein Vergnügen.

	alisa.talk.giftbook.1.show.guess@26@Умный он... Ну, молодец, что догадался. Спасибо, Макс! Если ещё попадутся из этой серии, буду рада принять их от тебя. Безвозмездно!|Einstein.... Nun, gute Arbeit beim Raten. Danke, Max! Wenn du so etwas wieder findest, nehme ich es gern mit. Ohne Entschädigung!
		leave^																	Хорошо...|Okay

	alisa.talk.giftbook.1.show.try@25@Поздравляю, попал в десятку! Если найдёшь ещё что-то подобное, буду рада такому подарку. Даже от тебя...|Glückwunsch, du hast ins Schwarze getroffen! Wenn du so etwas findest, freue ich mich über ein Geschenk. Sogar von dir
		leave^																	Ну, если даже от меня, то ладно...|Sogar vor mir? Wow, du musst dich wirklich danach sehnen.



# --- Макс дарит вторую эротическую книгу Алисе|Geschenk 2. Buch

	alisa.talk.giftbook.2.init@0@У меня снова для тебя книжка...|Ich habe wieder ein Buch für dich....
	alisa.talk.giftbook.2@33@Да? И какая на этот раз? Давай сюда...|Toll, was ist es diesmal?
		alisa.talk.giftbook.2.take!set_item.erobook.2_1!set_next.availablebook_3!set_dcd.alisabook_3^					Держи...|Hier

	alisa.talk.giftbook.2.take@28@Супер! Ты меня удивляешь, Макс! Если ещё что будет почитать, приноси. Я люблю подобную... литературу.\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Super! Du überraschst mich, Max! Wenn du noch mal in so etwas hineinstolperst, würde ich es gerne haben. Ich liebe solche.... Literatur.\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		leave!add_alisa.mood_120!add_alisa.rep_1^																		Коне?но!|Sicher!

# --- Макс дарит третью эротическую книгу Алисе|Geschenk 3. Buch

	alisa.talk.giftbook.3.init@0@И снова у меня для тебя книжка...|Ich habe wieder ein Buch für dich.
	alisa.talk.giftbook.3@33@Супер! Давай, показывай, что тут у нас...|Super! Komm schon, zeig mir, was wir hier haben....
		alisa.talk.giftbook.3.take!set_item.erobook.3_1!set_next.availablebook_4!set_dcd.alisabook_4^					Держи...|Hier

	alisa.talk.giftbook.3.take@28@То, что нужно! Если ещё что будет почитать, приноси. Ты же знаешь, как я люблю такие книги...|Es ist großartig! Du kannst immer noch mehr mitbringen, wenn du welche findest. Du weißt, wie sehr ich diese Bücher liebe.
		leave!add_alisa.mood_100^																						Конечно!|Sicher!


# --- Макс дарит четвёртую эротическую книгу Алисе|Geschenk 4. Buch

	alisa.talk.giftbook.4.init@0@И снова у меня для тебя книжка...|Ich habe wieder ein Buch für dich.
	alisa.talk.giftbook.4@33@Супер! Давай, показывай, что тут у нас...|Super! Komm schon, zeig mir, was wir hier haben....
		alisa.talk.giftbook.4.take!set_item.erobook.4_1!set_next.availablebook_5!set_dcd.alisabook_5^					Держи...|Hier

	alisa.talk.giftbook.4.take@28@То, что нужно! Если ещё что будет почитать, приноси. Ты же знаешь, как я люблю такие книги...|Es ist großartig! Du kannst immer noch mehr mitbringen, wenn du welche findest. Du weißt, wie sehr ich diese Bücher liebe.
		leave!add_alisa.mood_100^																						Конечно!|Sicher!


# --- Макс дарит пятую эротическую книгу Алисе|Geschenk 5. Buch

	alisa.talk.giftbook.5.init@0@У меня снова для тебя книжка...|Ich habe wieder ein Buch für dich....
	alisa.talk.giftbook.5@33@Да? И какая на этот раз? Давай сюда...|Toll, was ist es diesmal?
		alisa.talk.giftbook.5.take!set_item.erobook.5_1^																Держи...|Hier

	alisa.talk.giftbook.5.take@28@Забавная книжка. Давно хотела почитать... Спасибо, Макс. Ты меня балуешь!\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Das sollte Spaß machen. Ich wollte es lange Zeit lesen.... Danke, Max. Du verwöhnst mich!\n\n<color=lime><i><b>Achtung:</b> deine Beziehung ist verbessert worden.</i></color>
		leave!add_alisa.mood_150!add_alisa.rep_1^																		Конечно!|Sicher!



# --- Макс общается с курящей Алисой|Max erwischt Alice beim Rauchen.

	alisa.smoke.first@23@Упс. Макс, ты ничего не видел!\n\n<color=lime><i><b>Внимание:</b> Получена новая «возможность»!</i></color>|Oops. Max, du hast nichts gesehen!\n\n<color=lime><i><b>Achtung:</b> Du hast eine neue Chance gefunden!</i></color>
		alisa.smoke.first.rusmoke!set_poss.smoke_1!set_com.smoke_1!set_status.smoke_1!set_specialevent_1^				Алиса, ты куришь?!|Alice, rauchst du?!
