# --- 0.12: Макс спрашивает Лизу насчёт уроков с мамой

	12.aa.0.init@0@Как ваше обучение с мамой?|Any progress on your sex ed lessons with mom?
	12.ae.18@4@d-mt-11@<i>Мама что-то рассказывает про головку, яички... Это так скучно, но когда она прикасается ко мне... Я чуть не кончаю!</i>|<i>Mom's talking about the head and the balls... Not very interesting, to be honest. But she's also touching me! I hope I don't ruin the lesson by cumming!</i>
		12.ae.19^		<i>далее</i>|<i>continue</i>

	12.ae.19@41@d-mt-12@Ага, всё поняла мам... Но у меня вопрос. А что мне с ним делать?|Okay, now that I've seen it... What am I supposed to do with him?
		12.ae.20^		Со мной?|With me?

	12.ae.20@43@Нет, Макс, с членом... Ну, с членом моего парня. Вот он возбудится и захочет чего-то... Что мне делать?|No, Max, with cock. I mean my boyfriend's cock. So he's aroused and wants something from me, what do I do?
		12.ae.21^		Отличный вопрос!|That's a great question!

	12.ae.21@69@d-mt-10@Лиза... Ты хотела увидеть, я всё рассказала и показала... А насчёт остального... Ну я могу тебе рассказать, когда Макс уйдёт, если хочешь.|Lisa... You wanted to see a cock, you saw it. About the rest... We don't need Max for this, we can talk about it later.
		12.ae.22^		Без меня?|But what about me?

	12.ae.22@41@Да, мам, а какой тогда смысл был звать Макса, если я не смогу посмотреть или потрогать? Я же хочу впечатлить своего парня...|What's the point of calling Max if I can't practice on him? I want to impress my boyfriend.
		12.ae.23^		<i>далее</i>|<i>continue</i>

	12.ae.23@73@Лиза, постой, не спеши. Во-первых, тебе не надо впечатлять своего парня... таким образом, а во-вторых, ты слишком торопишь события...|Now wait a minute here. First, you don't have to impress your boyfriend, especially like this. Second, you're going too fast, slow down.
		12.ae.24^		<i>далее</i>|<i>continue</i>

	12.ae.24@41@Ну а что с Максом теперь делать? Вот он возбуждённый такой, это не вредно для его здоровья? Я слышала, что от этого может быть...|Okay, what do we do with Max now? He's aroused, isn't it bad for his health?
		12.ae.25^		Очень вредно|Yes it is!
		12.ae.25^		<i>молчать</i>|<i>keep quiet</i>

	12.ae.25@69@Да, это вредно для мужского здоровья. Но сейчас мы ничего с этим делать не будем. Максу придётся справиться как-то самому...|Yes, it's bad for him. But we're not going to do anything anything today. Max will have to deal with it himself.
		12.ae.26^		Эх...|Oh...

	12.ae.26@62@И, вообще, мне кажется, что на сегодня урок закончен.|And I think that's enough for today. This lesson is over.
		12.ae.27^		Почему?|Why?

	12.ae.27@73@Потому, что если я и была готова к тому, что Лиза увидит твой член, то вот к продолжению уж точно...|Because I wasn't ready for your sister doing anything with you. Seeing you, sure, but nothing else.
		12.ae.28^		<i>далее</i>|<i>continue</i>

	12.ae.28@41@Мам, Макс тебе говорил, что у нас многие девочки уже занимаются сексом? Я же не собираюсь трахаться со своим парнем... Ну, в ближайшее время...|Mom, did Max ever tell you a lot of my classmates have sex? I'm not even going to fuck my boyfriend... Well, any time soon, at least.
