# --- 0.3: Приезд Киры|Kira's Ankunft

	specialevent.4@75@e-meet-eric-1@Ну что, дети, дождались? Встречайте, к нам приехала тётя Кира!|He, Kinder, kommt her! Hier ist Tante Kira!
		kt.2.next.10^					И ничего я не приукрасил...|Nein, habe ich nicht!

	kt.2.next.10@114@Ладно, не дуйся. Давай сменим тему, а ещё лучше полежим на солнышке в тишине, если ты не возражаешь...|Sei nicht böse. Lass uns das Thema wechseln. Oder noch besser, lass uns ruhig in der Sonne liegen, wenn es dir nichts ausmacht.
		leave!set_dcd.kiratalk_1!add_kiratalk_1!set_poss.aunt_2!time^			Ладно, не буду тебе мешать...|Okay, ich will dich nicht stören.


# --- 0.3: 3й разговор с Кирой|Drittes Gespräch mit Kira

	kt.3@104@e-kira-max-sun-1@Вот так вот! Сразу к делу, да? Нет, Макс, мне не удалось поговорить. Но я обязательно во всём разберусь и выясню что происходит.|Auf den Punkt gebracht, was? Nein, Max, ich hatte noch keine Gelegenheit. Aber ich werde der Sache auf den Grund gehen.
		kt.3.next.1^					Ну ладно. Значит, ты работаешь горничной?|Okay. Also, du bist ein Dienstmädchen?

	kt.3.next.1@101@Ну... Типа того. А что, не похоже?|So was in der Art. Warum?
		kt.3.next.2^					Да странно это всё...|Es ist irgendwie merkwürdig....

	kt.3.next.2@103@Что же тебя смущает? Я разве не могу работать горничной?|Was ist seltsam? Warum kann ich kein Dienstmädchen sein?
		kt.3.next.3a^					Кто же вечером порядок наводит?|Aber warum so spät?
		kt.3.next.3b^					Ну, твои руки не как у горничной...|Deine Arme sehen nicht aus wie Handarbeit.

	kt.3.next.3a@113@Может быть, они любят поспать и только вечером не бывают дома?|Vielleicht schläfts du gerne und abends ist die einzige Tageszeit, wenn du nicht zu Hause bist?
		kt.3.next.5^					У тебя слишком нежные руки для такой работы...|Deine Arme sehen nicht aus wie Handarbeit.

	kt.3.next.3b@113@Ну ты совсем как твоя мама. Всё подозреваешь... Может быть, я в перчатках работаю. Берегу кожу...|Du bist genau wie deine Mom, du ahnst immer etwas. Ich kann in Handschuhen arbeiten, um meine Haut zu schützen.
		kt.3.next.5^					Кто же вечером порядок наводит?|Aber warum so spät?

	kt.3.next.5@114@Ну ладно, ладно, ты меня раскусил, Макс. Я не совсем горничной работаю...|Okay, okay, du hast mich erwischt. Ich bin kein Dienstmädchen.
		kt.3.next.6^					А кем тогда?|Was machst du dann?
		kt.3.next.6^					И для чего тебе форма горничной?|Warum brauchst du dann das Dienstmädchen-Outfit?

	kt.3.next.6@100@Если ты расскажешь своей маме, она меня убьёт и выгонит в гостиницу... В лучшем случае...|Wenn du es deiner Mom sagst, wird sie mich im besten Fall töten und dann rauswerfen.
		kt.3.next.7^					Рассказывай. Я никому ни слова!|Du kannst mir vertrauen, ich werde es nicht sagen!

	kt.3.next.7@104@Точно? В общем, я снимаюсь в одном фильме... И форма горничной как раз из него. Я её случайно испачкала и брала постирать, а твоя мама заметила...|Nun, ich spiele in einem Film mit.... Und das Hauptoutfit kommt von dort. Ich habe es aus Versehen beschmutzt und zum Reinigen mit nach Hause genommen, aber deine Mom hat es bemerkt....
		kt.3.next.8^					Так ты теперь актриса?!|Du bist also eine Darstellerin!?

	kt.3.next.8@114@Да, почти звезда! Но никому не говори. Это большой секрет от всех!|Ja, ich bin ein aufstrebender Star. Aber verrate es niemandem, es ist ein großes Geheimnis!
		kt.3.next.9^					Почему?|Warum?
		kt.3.next.9^					И что это за фильм?|Und worum geht es in dem Film?

	kt.3.next.9@104@Ну, это не совсем те фильмы, которыми хвастаются среди своей семьи, если ты меня понимаешь...|Es ist nicht die Art von Filmen, mit denen die Leute vor ihren Familien angeben, wenn du weißt, was ich meine....
		kt.3.next.10^					Это порно?!|Es ist ein Porno!?

	kt.3.next.10@100@Макс, ну почему сразу порно? Может быть, это утончённая эротика с интересным сюжетом и отличной игрой актёров...|Warum müssen es Pornos sein? Es kann anspruchsvolle Erotik mit fesselnder Handlung und großartiger Schauspielerei sein....
		kt.3.next.11^					Значит, правда порно...|Ja, hört sich nach Pornos an.

	kt.3.next.11@104@Ну да. Нужно же девушке как-то зарабатывать. Правда, платят не очень, но продюсер обещал мне главную роль...|Nun, ja. Ich muss irgendwie Geld verdienen. Aber sie zahlen mir nicht so viel. Mein Produzent versprach mir eine Hauptrolle....
		kt.3.next.12^					Они всем это обещают|Das erzählen sie jedem!

	kt.3.next.12@103@Думаешь, я этого не знаю? Ну а что делать. Там мне хотя бы стабильно платят, хоть и копейки...|Denkst du, ich weiß das nicht? Was sollte ich sonst tun? Wenigstens habe ich einen festen Gehaltsscheck, auch wenn es nicht viel ist.
		kt.3.next.13^					Моя тётя снимается в порно... С ума сойти!|Meine Tante ist eine Pornodarstellerin, ich kann es nicht glauben!

	kt.3.next.13@114@e-kira-max-sun-2@Макс, ты опять слишком перевозбудился. Боюсь представить что будет, если ты увидишь какой-нибудь фильм с моим участием!|Max, du bist wieder zu aufgeregt. Ich habe Angst, mir vorzustellen, was passiert, wenn du einen meiner Filme siehst!
		kt.3.next.14^					А что, можно увидеть?|Kann ich!?

	kt.3.next.14@113@Думаю, на сегодня с тебя и так хватит. Бегом в душ, а то ты меня смущаешь...|Ich denke, das reicht für heute. Geh duschen, du blamierst mich.
		kt.3.next.15^					Ладно...|Okay

	kt.3.next.15@4@e-max-kira-shower-1@<i>Моя тётя снимается в порно! Если рассказать об этом маме, то всё, и тётю потеряю и все шансы на... не знаю даже на что. Ох... вот это мне повезло!</i>|<i>Meine Tante ist ein Pornostar! Wenn ich es jemandem erzähle, verliere ich meine Tante und alle Chancen.... Ich weiß nicht mal was. Ich bin so glücklich!</i>
		kt.3.next.16^					<i>далее</i>|<i>fortfahren</i>

	kt.3.next.16@7@e-max-kira-shower-2@<i>О да, Кира, ты снимешься и в моём фильме. Я сделаю тебя звездой и не только!</i>|<i>Ja, Kira, du wirst auch in meinem Film mitspielen. Ich mache dich zum Star und mehr....</i>
		kt.3.next.17^					<i>далее</i>|<i>fortfahren</i>

	kt.3.next.17@104@e-max-kira-shower-3@Что, прости? Я не расслышала последнее...|Es tut mir leid, was? Ich konnte den letzten Teil nicht verstehen.
		kt.3.next.18^					Но... Ты же была там... Я... это не то, что ты думаешь...|Aber du warst.... Ich.... es ist nicht das, was du denkst....

	kt.3.next.18@114@Неужели? И что же это? Передо мной стоит парень с членом в руке. Интересно, что же это ещё может быть?|Oh, und was ist es dann? Ich sehe einen Kerl mit einem Schwanz in der Hand. Ich frage mich, was das wohl sein könnte?
		kt.3.next.19^					Не поможешь с этим, раз уж ты тут?|Nun, da du sowieso hier bist, wirst du mir helfen?

	kt.3.next.19@104@Очень смешно, Макс. Я твоя тётя, если ты забыл. Ладно, ты тут заканчивай, я позже в душ схожу.|Sehr witzig, Max. Ich bin übrigens deine Tante. Du solltest fertig werden, und ich werde später duschen.
		leave!set_dcd.kiratalk_1!add_kiratalk_1!set_poss.aunt_3!max_cam.6.grow_200!time^			<i>закончить</i>|<i>beenden</i>



# --- 0.3: 4й разговор с Кирой|Viertes Gespräch mit Kira

	kt.4@104@e-kira-max-sun-1@Макс, ты всё ещё переживаешь? Думаешь, я не видела парней, которые дрочат на меня? Всё в порядке. Мне даже приятно, что я всё ещё в форме и востребована... Хотя тот факт, что я твоя тётя всё меняет...|Max, machst du dir darüber noch Sorgen? Denkst du, ich habe noch nie Kerle gesehen, die sich vor mir einen runterholen? Es ist in Ordnung. Ich fühle mich geschmeichelt, das heißt, ich bin immer noch in guter Verfassung und begehrt.... Da ich bin deine Tante bin, ändert das leider alles.
		kt.4.next.1a^					Ну и что. У тебя нет комплексов, у меня тоже...|Na und. Es ist mir egal, und dir auch....
		kt.4.next.1b^					И что это меняет?|Was ändert sich dadurch?

	kt.4.next.1a@114@Я рада слышать, что у тебя нет комплексов, но Макс... У меня тоже есть границы и ты не думай, что если я загораю в таком виде, то позволяю себе всякое. Ну, бывает, но не всё. Честно!|Ich mag es, dass du so offen bist, Max, aber.... Ich habe ein paar Grenzen, denke nicht, dass ich dir alles erlauben werde, was du willst, nur weil ich so einen Bikini trage.
		kt.4.next.2^					Как-то не очень убедительно...|Sicher tust du das....

	kt.4.next.1b@114@Ну хотя бы то, что тебя отправят в лагерь, а меня жить в гостиницу, если твоя мама узнает, что мы об этом разговариваем. И если что, у меня тоже есть границы. И наш разговор выходит за них...|Nun, für den Anfang, wenn deine Mom jemals herausfindet, dass wir jemals darüber gesprochen haben, wirst du ins Lager geschickt und ich werde aus dem Haus geworfen. Ich habe Grenzen, und diese Unterhaltung verschiebt sie.
