# --- Алиса спит|Alice schläft.

		lenter=0&liza.pshopping.voyeur^				<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		lenter>0&10.db.0^							<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	liza.pshopping.knock@121@<b>Лиза:</b> Кто там? Я переодеваюсь!|<b>Lisa:</b> Wer ist da? Ich ziehe mich um!
		liza.pshopping.knock.me^					Это я, Макс. Можно войти?|Ich bin's, Max. Kann ich reinkommen?
		leave!lock^									Хорошо, я подожду...|Okay, ich warte....

	liza.pshopping.knock.me@121@<b>Лиза:</b> Нет, Макс, нельзя! Я переодеваюсь. Жди там.|<b>Lisa:</b> Nein, Max, das kannst du nicht! Ich ziehe mich um, warte dort.
		liza.pshopping.open^						<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^									Хорошо...|Schön

	liza.pshopping.open@42@e-opendoor-liza-dr-2@Макс! Я не одета! Быстрой закрой дверь с той стороны!|Max! Ich bin nicht angezogen! Mach sofort die Tür zu!
		liza.pshopping.open.nice^					А у тебя сиськи подросли!|Deine Titten sind gewachsen!
		leave!lock^									Извини, я не хотел...|Tut mir leid, es war ein Missgeschick.

	liza.pshopping.open.nice@50@Что?! Я всё маме расскажу!|Was?! Ich sag's Mom!
		leave!lock^									Всё, всё, ухожу!|Okay, Okay, ich gehe!
		liza.pshopping.open.nice.angry^				Уже ухожу, но сиськи - супер!|Ich gehe, aber deine Titten sind fantastisch!

	liza.pshopping.voyeur@120@e-liza-pschool-1@Кажется, всё самое интересное я уже пропустил...|Sieht aus, als hätte ich das Beste verpasst....
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	liza.pshopping.open.nice.angry@42@...|...
		leave!lock^									<i>Бежать</i>|<i>Lauf weg</i>



# --- Мама собирается на работу|Ann zieht sich um für die Arbeit.

	mom.poffice@121@<i>Сейчас 10:00, а значит, мама собирается на работу...</i>|Es ist 10:00 Uhr, also macht sich Mom für die Arbeit fertig.
		mom.poffice.knock^							<i>постучаться</i>|<i>anklopfen</i>
		mom.poffice.open^							<i>открыть дверь</i>|<i>die Tür öffnen</i>
		mom.poffice.voyeur^							<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.poffice.knock@121@<b>Мама:</b> Кто там?|<b>Mom:</b> Wer ist da?
		mom.poffice.knock.me^						Это Макс. Можно войти?|Hier ist Max, kann ich reinkommen?
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.poffice.knock.me@121@<b>Мама:</b> Макс, я не одета. Собираюсь на работу. Подожди немного, дорогой.|<b>Mom:</b> Max, ich bin nicht angezogen. Warte eine Weile, bitte.
		leave!lock^									Хорошо, мам|Okay, Mom

	mom.poffice.open@68@e-opendoor-Mom-dr-1@Макс! Я же учила тебя стучаться!|Max! Klopfe das nächstes Mal an!
		mom.poffice.open.uwear!add_mom.mood_30^							Красивое бельишко|Schöne Dessous!
		mom.poffice.open.niceass!add_mom.mood_-30^						Отличный зад!|Netter Arsch!
		Momas>6&mom.poffice.open.nk^									Я же видел тебя голой!|Aber ich habe dich schon nackt gesehen!
		eric.voy.stage>5&mom.poffice.open.stay^							Я просто хочу смотреть...|Ich will nur zusehen
		mom.poffice.open.sorry!add_mom.mood_-10^						Ой, извини. Я забыл...|Es tut mir leid, ich vergaß

	mom.poffice.open.nk@62@И что с того, Макс? Одно дело - делать массаж, другое... Хотя, ладно, смотри сколько хочешь, только выйди из комнаты...|Na und? Massage ist anders als.... Obwohl.... Schön, du kannst zusehen, wenn du wirklich willst, aber bitte verlasse das Zimmer....
		mom.poffice.open.nk.2^						Хорошо!|Okay

	mom.poffice.open.nk.2@4@e-opendoor-Mom-dr-x@<i>Кажется, мама и правда меня стесняется всё меньше... Красота какая!</i>|<i>Sieht aus, als wäre Mom nicht mehr so schüchtern wie früher.... Sie ist so schön!</i>
		leave!time^									<i>жаль, мало...</i>|<i>zu schade, dass die Show so kurz war</i>

	mom.poffice.open.stay@62@В каком смысле смотреть?|Was meinst du damit, du willst zusehen?
		mom.poffice.open.stay.1^					Ну, ты же не будешь меня стесняться после того, что я видел...|Nun, du wirst dich nicht für mich schämen, nachdem, was ich gesehen habe....

	mom.poffice.open.stay.1@69@Макс... Мне очень стыдно, но... Это как-то неправильно.|Max.... es ist falsch....
		mom.poffice.open.stay.2^					Так я могу остаться?|Also, kann ich bleiben?
		mom.poffice.open.sorry^						Ладно, не буду тебе мешать...|Okay, ich werde dich nicht stören....

	mom.poffice.open.stay.2@73@e-opendoor-Mom-dr-2@Не знаю... Ну давай компромис. Ты подождёшь за дверью, но можешь её немного приоткрыть, а я сделаю вид, что не замечаю это... Но только в этот раз!|Ich weiß nicht.... Lass uns einen Kompromiss eingehen. Du wartest vor der Tür, aber du kannst sie ein wenig öffnen, und ich tue so, als ob ich nicht wüsste, dass du draußen bist. Aber nur einmal!
		mom.poffice.open.stay.3^					Договорились!|Deal!

	mom.poffice.open.stay.3@120@e-opendoor-Mom-dr-x@<i>Ого! Кажется, маме самой это начинает нравиться!</i>|<i>Wow! Ich glaube, Mom fängt an, es zu mögen!</i>
		leave!time^									<i>Шоу окончено...</i>|<i>die Show ist vorbei</i>

	mom.poffice.open.uwear@73@Спасибо, конечно. Но... Макс, не мог бы ты подождать за дверью, пока я оденусь?|Danke, Max, aber.... Könntest Du bitte hinter der Tür warten?
		leave!lock^									Конечно, мам!|Sicher, Mom

	mom.poffice.open.niceass@64@Что?! Макс! А ну-ка быстро выйди и закрой дверь!|Was? Max! Geh raus und schließ die Tür, sofort!
		leave!lock^									Как скажешь, мам...|Okay, Mom

	mom.poffice.open.sorry@67@Ну, бывает. Я сама ещё не привыкла к тому, что замков нигде нет. Ладно, дорогой. Подожди за дверью, пока мама одевается. хорошо?|Es ist okay, ich gewöhne mich immer noch an das Fehlen von Schlössern an den Türen. Jetzt warte bitte hinter der Tür, bis ich mich angezogen habe, okay?
		leave!lock^									Хорошо, мам...|Okay, Mom...

	mom.poffice.voyeur@120@e-voyeur-Mom-dr-1@Ничего себе, мама без трусов! Это я удачно выбрал момент... Но пора уходить, а то вдруг увидит меня в зеркало!|Wow, Mom ist ohne Höschen! Ich habe einen glücklichen Moment gewählt.... Aber ich sollte gehen, bevor sie mich im Spiegel sieht.
		leave!lock^									<i>уйти</i>|<i>verlassen</i>


# --- Мама собирается на шоппинг|Ann macht sich bereit zum Einkaufen

	mom.pshopping@121@Сегодня суббота, день шоппинга. Видимо, мама собирается...|Sieht so aus, als ob Mom sich für einen Einkaufstag fertig macht
		menter=0&mom.pshopping.knock^				<i>постучаться</i>|<i>anklopfen</i>
		menter=0&mom.pshopping.open^				<i>открыть дверь</i>|<i>die Tür öffnen</i>
		menter=0&mom.pshopping.voyeur^				<i>заглянуть в окно</i>|<i>durchs Fenster sehen</i>
		menter>0&10.dc.0^							<i>открыть дверь</i>|<i>die Tür öffnen</i>
		leave!lock^									<i>уйти</i>|<i>verlassen</i>


	mom.pshopping.open.stay@62@В каком смысле смотреть?|Was meinst du damit, du willst zusehen?
		mom.pshopping.open.stay.1^					Ну, ты же не будешь меня стесняться после того, что я видел...|Mom, du wirst dich nicht für mich schämen, nachdem, was ich gesehen habe, oder?

	mom.pshopping.open.stay.1@69@Макс... Мне очень стыдно, но... Это как-то неправильно.|Max.... Es ist falsch....
		mom.pshopping.open.stay.2^					Так я могу остаться?|Also, kann ich bleiben?
		mom.pshopping.open.sorry^					Ладно, не буду тебе мешать...|Okay, ich werde dich nicht stören.

	mom.pshopping.open.stay.2@73@e-opendoor-Mom-dr-2@Не знаю... Ну давай компромис. Ты подождёшь за дверью, но можешь её немного приоткрыть, а я сделаю вид, что не замечаю это... Но только в этот раз!|Ich weiß nicht.... Lass uns einen Kompromiss eingehen. Du wartest vor der Tür, aber du kannst sie ein wenig öffnen, und ich tue so, als ob ich nicht wüsste, dass du draußen bist. Aber nur einmal!
		mom.pshopping.open.stay.3^					Договорились!|Deal!

	mom.pshopping.open.stay.3@120@e-opendoor-Mom-dr-x@<i>Ого! Кажется, маме самой это начинает нравиться!</i>|<i> Wow! Ich glaube, meine Mutter fängt an, es zu mögen!</i>
		leave!time^									<i>Шоу окончено...</i>|<i>die Show ist vorbei</i>

	mom.pshopping.open.nk@62@И что, ты теперь всё время будешь это припоминать? Ладно, смотри, если хочешь, только выйди из комнаты...|Wirst du mich die ganze Zeit daran erinnern? Schön, du kannst schauen, aber bitte verlasse das Zimmer....
		mom.pshopping.open.nk.2^					Ага!|Okay!

	mom.pshopping.open.nk.2@4@e-opendoor-Mom-dr-x@<i>О да! Смотреть, когда мама знает, что я за нею подглядываю... А ещё она практически голая и меня, похоже, почти не стесняется! Красота!</i>|<i>Oh, ja! Ich kann auf Mom aufpassen und sie weiß, dass ich sie sehe.... Sie ist fast nackt und scheint nicht mehr schüchtern zu sein!</i>
		leave!time^									<i>жаль, что мало...</i>|<i>zu schade, dass die Show so kurz war</i>

	mom.pshopping.knock@121@<b>Мама:</b> Кто там?|<b>Mom:</b> Wer ist da?
		mom.pshopping.knock.me^						Это Макс. Можно войти?|Hier ist Max, kann ich reinkommen?
		leave!lock^									<i>уйти</i>|<i>verlassen</i>

	mom.pshopping.knock.me@121@<b>Мама:</b> Нет, Макс. Я переодеваюсь. Подожди немного, дорогой.|<b>Mom:</b> Nein, Max. Ich ziehe mich um. Warte ein wenig, Liebes.
		leave!lock^									Хорошо, мам|Okay, Mom

	mom.pshopping.open@68@e-opendoor-Mom-dr-1@Макс! Я же учила тебя стучаться!|Max! Klopfe nächstes Mal an!
		mom.pshopping.open.uwear!add_mom.mood_30^	Хорошо выглядишь, мам!|Du siehst gut aus, Mom!
		Momas>6&mom.pshopping.open.nk^				Я же видел тебя голой!|Aber ich habe dich schon nackt gesehen!
		eric.voy.stage>5&mom.pshopping.open.stay^	Я просто хочу смотреть...|Ich will nur zusehen....
		mom.pshopping.open.sorry^					Ой, извини...|Oh, sorry

	mom.pshopping.open.uwear@73@Спасибо, конечно. Но... Макс, не мог бы ты выйти и закрыть дверь за собой?|Danke, Max, aber.... bitte geh und schließ die Tür hinter dir.
		leave!lock^									Конечно, мам!|Sicher, Mom

	mom.pshopping.open.sorry@67@И Макс... Постарайся больше не входить без стука, хорошо?|Und, Max.... Versuch nicht mehr reinzukommen, ohne anzuklopfen, ok?
		leave!lock^									Хорошо, мам...|Okay, Mom

	mom.pshopping.voyeur@120@e-voyeur-Mom-dr-1@Интересно, а мама наденет трусы или под одеждой их не носит? Блин, если заметит меня в зеркало, мне конец. Похоже, так и не узнаю...|Ich frage mich, ob Mom ein Höschen tragen wird? Wenn sie mich im Spiegel sieht, bin ich tot. Ich schätze, ich kann nicht bleiben, um es herauszufinden....
