# --- Interrupt: Лиза возвращается из новой школы в первый раз|Lisa kehrt zum ersten Mal von der Schule zurück

	liza.talk.aboutboy.1.good.mom.yes@43@Ага, щаз. Даже если бы он и был моим парнем, только потому, что вы все попросите одновременно, я никого не брошу!|Ja, richtig. Selbst wenn er mein Freund wäre, würde ich ihn nicht abservieren, nur weil du es mir gesagt hast!
		liza.talk.aboutboy.1.reason^										Так у нас тут бунтарка!|Oh, eine Rebellin, nicht wahr?
		liza.talk.aboutboy.1.reason^										А вот это мне в тебе нравится!|Das mag ich an dir!
		liza.talk.aboutboy.1.good.mom.yes.bad^								Ну и зря. Иногда большинство бывает право...|Schade, manchmal hat die Mehrheit Recht.

	liza.talk.aboutboy.1.good.mom.yes.bad@40@Угу, миллионы мух не могут ошибаться... Ну ты и зануда, Макс! Не хочу больше об этом разговаривать...|Hör auf, mich zu nerven, Max, ich will nicht mehr darüber reden.
		leave!set_talk.boy_2^												Ну и ладно!|Schön!

	liza.talk.aboutboy.1.good.so@41@Да никакой он мне не парень. Я же говорю, только познакомилась. Просто... он мне понравился.|Er ist nicht mein Freund, wir haben uns gerade erst kennengelernt. Ich mag ihn, aber das war's.
		liza.talk.aboutboy.1.reason^										Да расслабься...|Entspann Dich
		liza.talk.aboutboy.1.reason^										Ладно, ладно, верю!|Okay, okay, ich glaube dir.

	liza.talk.aboutboy.1.reason@41@Так ты что-то сказать хотел или зачем эту тему поднял?|Wie auch immer, warum willst du darüber reden?
		liza.talk.aboutboy.1.reason.help^									Я подумал, что тебе нужна моя помощь|Ich möchte meine Hilfe anbieten
		liza.talk.aboutboy.1.reason.advice^									Хотел дать тебе один совет...|Ich kann Ihnen einen Rat geben....
		leave!set_talk.boy_2^												Да, забей...|Vergiss es....

	liza.talk.aboutboy.1.reason.help@40@Помощь? Мне? В чём? Если мне будет нужна помощь, я попрошу. Нет проблемы, нечего и решать...|Hilfe wobei? Wenn ich deine Hilfe brauche, frage ich dich.
		leave!set_talk.boy_2^												Как скажешь...|Okay
		leave!set_talk.boy_2^												Если что, ты знаешь где меня искать|Du weißt, wo du mich findest.

	liza.talk.aboutboy.1.reason.advice@40@Знаешь что, Макс. Оставь свои советы при себе. Я что-то не в духе. Да и не о чем сейчас разговаривать. Он мне не парень и у меня нет проблем, чтобы их решать!|Weißt du was, Max, du kannst deinen Rat behalten, ich bin nicht in der Stimmung. Wie auch immer, ich habe keinen Freund, also habe ich keine Probleme mit meinem Freund.
		leave!set_talk.boy_2^												Хорошо, хорошо...|Schön, Schön...
		leave!set_talk.boy_2^												Ну, если что, я тут|Ich bin hier, wenn du mich brauchst.


# --- Продолжение разговора с Лизой насчёт её парня. шаг №2|Alex Gespräch, Schritt 2

	liza.talk.aboutboy.2.init@0@Насчёт твоего парня...|Über deinen Freund....
	liza.talk.aboutboy.2@40@Макс, давай сменим тему...|Max, lass uns das Thema wechseln.
		talk.boy=3&liza.talk.aboutboy.2.bad^					Ну Лиза...|Komm schon, Lisa....
		talk.boy=4&liza.talk.aboutboy.2.normal^					Ну Лиза...|Komm schon, Lisa....
		talk.boy=5&liza.talk.aboutboy.2.good^					Ну Лиза...|Komm schon, Lisa....

	liza.talk.aboutboy.2.bad@46@Макс, я тебе рассказала по секрету, а ты меня спалил маме. Не хочу ничего рассказывать больше...|Das letzte Mal, als wir darüber geredet haben, hast du Mom alles verraten. Ich will nicht mehr mit dir reden.
		liza.talk.aboutboy.2.bad.sorryforgot^					Извини, я забыл, что обещал|Es tut mir leid, ich habe vergessen, dass ich versprochen habe, es geheim zu halten.
		liza.talk.aboutboy.2.bad.sorryfun^						Извини, но было же весело?|Es tut mir leid. Aber es war lustig, nicht wahr?
		liza.talk.aboutboy.2.bad.sorry^							Извини, я не подумал...|Es tut mir leid, ich habe nicht daran gedacht.

	liza.talk.aboutboy.2.bad.sorryforgot@40@Вот и как тебе что-то рассказывать по секрету, если ты можешь забыть, что это секрет? А?|Und wie soll ich dir vertrauen, wenn du vergessen hast, es niemandem zu sagen?
		liza.talk.aboutboy.2.so^								Извини ещё раз, я не хотел|Es tut mir wirklich leid, ich wollte das nicht.

	liza.talk.aboutboy.2.bad.sorryfun@40@Нет, Макс, мне не было весело. Нарушать своё слово это совсем совсем не весело!|Es war nicht lustig für mich, Max. Dein Wort zu brechen macht keinen Spaß!
		liza.talk.aboutboy.2.so^								Извини ещё раз, я не хотел|Es tut mir wirklich leid, ich wollte das nicht.

	liza.talk.aboutboy.2.bad.sorry@40@Не подумал. Я же просила, а ты... Как тебе рассказывать что-то, если ты не думаешь?|Ich habe nicht nachgedacht. Ich habe dich gefragt, und du.... Wie könnte ich dir etwas sagen, wenn du nicht nachdenkst, bevor du sprichst?
		liza.talk.aboutboy.2.so^								Извини ещё раз, я не хотел|Es tut mir wirklich leid, ich wollte das nicht.

	liza.talk.aboutboy.2.normal@48@Макс, ты чего такой любопытный? Я же не выпытываю с кем ты встречаешься...|Warum so neugierig? Max? Ich frage dich nach deinem Privatleben....
		liza.talk.aboutboy.2.normal.nobody^						Я ни с кем не встречаюсь. В моей жизни есть только ты!|Ich habe niemanden, du bist das einzige Mädchen in meinem Leben!
		liza.talk.aboutboy.2.normal.someone^					Если бы и был кто-то, ты бы точно свой нос совала!|Wenn ich jemanden hätte, würdest du mich die ganze Zeit über sie ausfragen!

	liza.talk.aboutboy.2.normal.nobody@42@Не подлизывайся, Макс! Сознавайся, чего задумал?|Hör auf, dich bei mir einzuschleimen und sag mir, warum es dich überhaupt interessiert.
		liza.talk.aboutboy.2.so^								Да ничего, просто любопытно...|Kein Grund, ich bin nur neugierig.

	liza.talk.aboutboy.2.normal.someone@43@Ха! Ты меня хорошо знаешь. Но ты как-то необычайно настойчиво интересуешься...|Heh, da hast du Recht. Aber warum fragst du trotzdem?
		liza.talk.aboutboy.2.so^								Ну, мне просто любопытно...|Ich bin nur neugierig.

	liza.talk.aboutboy.2.good@41@Ну ладно, ладно. Кстати, спасибо, что меня не выдал. Мне нравится, что я могу на тебя положиться.|Schön, Schön. Danke, dass du mich nicht verpfiffen hast. Ich bin froh, dass ich dir vertrauen kann.
		liza.talk.aboutboy.2.so^								Всегда пожалуйста!|Gern geschehen

	liza.talk.aboutboy.2.so@41@Ну ладно, Макс. Так чего ты хотел узнать?|Wie auch immer, Max, was willst du wissen?
		liza.talk.aboutboy.2.so.wup^							Да всё! Что тебе удалось выяснить?|Alles! Hast du irgendwelche nützlichen Informationen herausgefunden?

	liza.talk.aboutboy.2.so.wup@40@Об Алексе? Ну, у него есть подружка, оказывается. Самая красивая девочка в школе, говорят...|Du meinst wegen Alex? Ja, es stellte sich heraus, dass er bereits eine Freundin hat. Alle sagen, sie sei das schönste Mädchen der Schule....
		liza.talk.aboutboy.2.so.wup.you^						Они всё врут. Ты - самая красивая!|Sie lügen, du bist die Schönste.
		liza.talk.aboutboy.2.so.wup.sure^						Ты уверена, что она самая красивая?|Bist du sicher, dass sie das schönste Mädchen der Schule ist?

	liza.talk.aboutboy.2.so.wup.you@48@Макс, ты такой сегодня... Спасибо за комплимент, но все мальчики без ума от подружки Алекса...|Wow, Max.... Danke für das Kompliment, aber alle Jungs in der Schule jagen Alex' Freundin.
		liza.talk.aboutboy.2.seeher^							А ты её сама видела?|Hast du sie gesehen?

	liza.talk.aboutboy.2.so.wup.Sicher@49@Ну, так говорят все мальчики...|Nun, alle Jungs sagen das....
		liza.talk.aboutboy.2.seeher^							А ты её сама видела?|Hast du sie gesehen?

	liza.talk.aboutboy.2.seeher@41@Конечно! Мы же в одном классе учимся. Зовут Оливия.|Natürlich ist sie in meiner Klasse. Ihr Name ist Olivia.
		liza.talk.aboutboy.2.seeher.bitch^						Наверное, стерва?|Sie ist wahrscheinlich eine Schlampe, nicht wahr?
		liza.talk.aboutboy.2.seeher.about^						И какая она?|Und wie ist sie so?

	liza.talk.aboutboy.2.seeher.bitch@40@Нет, Макс. Наоборот, она такая хорошая, тихая, скромная, но почему-то всем нравится... Хотя, и правда симпатичная очень...|Nein, Max. Sie ist nett, ruhig und schüchtern, jeder mag sie.... Und sie ist sehr hübsch.
		liza.talk.aboutboy.2.she.like^							В твоём вкусе?|Magst du sie?
		liza.talk.aboutboy.2.she.strange^						Странно...	|Seltsam....

	liza.talk.aboutboy.2.seeher.about@40@Ну, она такая хорошая, тихая, скромная. И очень симпатичная...|Sie ist nett, ruhig und schüchtern. Und sie ist sehr hübsch.
		liza.talk.aboutboy.2.she.like^							В твоём вкусе?|Magst du sie?
		liza.talk.aboutboy.2.she.strange^						Странно...	|Seltsam...

	liza.talk.aboutboy.2.she.like@42@В смысле? Мне мальчики нравятся, я же говорила уже. Но да, мне она кажется симпатичной...|Was meinst du damit? Ich mag Jungs, das habe ich dir schon gesagt. Aber ja, ich finde sie sehr hübsch.
		liza.talk.aboutboy.2.she.ok^							Понятно...|Ich verstehe

	liza.talk.aboutboy.2.she.strange@41@Почему странно? Думаешь, мальчикам нравятся только всякие оторвы? Таких полный класс. Именно этим она и выделяется, что не похожа на других|Warum? Denkst du, Jungs mögen nur wilde Küken? Wir haben eine ganze Klasse davon. Olivia ist anders.
