# --- 0.11: Диалог с Алисой насчёт того, что она решила делать с компроматом. Ключевой диалог, запускающий цепочку, открывающую контент 0.11

	11.aa.0.init@0@Так что ты решила насчёт того видео?|Also, hast du entschieden, was wir tun sollen?
		11.af.1^		Ага, привет...|Hi, hi...

	11.af.1@25@b-alisacome-2@Вы чего такие сонные? Я думала, вы меня ждёте... Ну и ладно. Сестрёнка, моя киска очень соскучилась по твоему нежному язычку... Ты же не против?|Warum bist du so müde? Ich dachte, du wartest auf mich.... Nun, egal. Ich bin sicher, du wirst bald aufwachen. Meine Muschi wartet auf deine sanfte Zunge, Schwesterchen. Es macht dir doch nichts aus, oder?
		11.af.2^		А мне что делать?|Was soll ich tun?

	11.af.2@33@b-alisacome-4@Ну я не знаю, Макс... Можешь пристроить куда-нибудь свой член, пока мы развлекаемся... Например, в попку своей сестрёнки. Как тебе?|Ich weiß nicht, Max.... Du kannst deinen Schwanz irgendwo hinschieben, wenn du willst. Was ist mit dem Arsch deiner Schwester?
		11.af.3a^		Супер!|Großartig!
		11.af.3b^		Которой сестрёнки?|Welcher Schwester?

	11.af.3a@21@Лиза, ну а ты чего сидишь? Подставляй попку и покажи на что способен твой язычок... Ты же уже знаешь, что делать...|Worauf wartest du, Lisa? Nimm die Position für Max ein und zeig mir, was du mit deiner Zunge kannst.... Du weißt, was zu tun ist.
		11.af.3^		<i>пристроиться сзади</i>|<i>nähere dich Lisa's Arsch</i>

	11.af.3b@21@Очень смешно, Макс! Лиза, а ты чего ждёшь? Подставляй попку и покажи на что способен твой язычок... Ты же уже знаешь, что делать...|Ha ha. Worauf wartest du, Lisa? Nimm die Position für Max ein und zeig mir, was du mit deiner Zunge kannst.... Du weißt, was zu tun ist.
		11.af.3^		<i>пристроиться сзади</i>|<i>nähere dich Lisa's Arsch</i>

	11.af.3@4@b-alisacome-9@<i>Лиза даже не спорила, просто выставила свою аппетитную попку и принялась ласкать Алису. Да, ей очень нравится подчиняться! Ну а мне нравится её попка...</i>|<i>Ich mag es, dass Lisa sich in unseren Spielen nie beschwert und einfach alles sofort macht. Sie liebt es definitiv, sich zu unterwerfen. Und ich liebe ihren Arsch....</i>
		11.af.4^		<i>трахать Лизу в попку</i>|<i>ficke Lisa in den Arsch</i>

	11.af.4@25@b-alisacome-11@Лиза, да, так... У тебя пальчики не менее ловкие, чем язычок... Макс, а ты поактивнее, видишь, я скоро кончу... Хочу, чтобы мы сделали это одновременно...|Einfach so, Lisa.... Du bist auch sehr gut mit deinen Fingern.... Schneller, Max, siehst du nicht, dass ich bald kommen werde? Ich will, dass wir zusammen kommen.
		11.af.5^		<i>продолжать</i>|<i>fortfahren</i>

	11.af.5@4@b-alisacome-12@<i>Похоже, Алиса в восторге от того, что мы тут делаем ночами... И почему наши отношения только сейчас дошли до такого? А, не важно. Главное, что дошли!</i>|<i>Alice genießt definitiv unsere Spiele. Was nicht verwunderlich ist, da sie diejenige ist, die alle angefangen hat.... Warum haben wir so lange gebraucht....? Eh, wen interessiert's. Das Wichtigste ist, dass wir endlich da sind!</i>
		11.af.6^		<i>продолжать</i>|<i>fortfahren</i>

	11.af.6@26@О да, да, я кон... кончаю... Ох... Лиза, ты как всегда - лучшая! Макс, а ты... Решай сам, кончить в попку Лизы или на неё... Как тебе больше нравится...|Ja, ja, ich bin.... Ich bin am Kommen! Du bist die Beste, Lisa, wie immer! Du kannst entscheiden, wo du abspritzen willst, Max.
		11.af.7a!set_inl_0^		<i>кончить в попку</i>|<i>spritze in den Arsch</i>
		11.af.7b!set_inl_1^		<i>кончить на Лизу</i>|<i>spritze auf Lisa</i>

	11.af.7a@4@b-alisacome-14@<i>Лиза ещё и двигает попкой мне навстречу... Ох... Лиза, ты и правда - лучшая!</i>|<i>Lisa stimmuliert mich bei jeder Bewegung auf halber Strecke.... Ich bin mir nicht sicher, ob sie will, dass ich in ihr komme, aber, oh, nun ja.... Ja.... Du bist wirklich die Beste, Lisa!</i>
		11.af.7^		<i>далее</i>|<i>fortfahren</i>

	11.af.7b@4@b-alisacome-13@<i>Как же мне повезло с ними... Совершенно без тормозов! И обе в восторге от того, что происходит... А уж я то как рад!</i>|<i>Ich bin so glücklich mit meinen Schwestern.... Kein Problem und beide sind glücklich, das alles zu tun. Eine große glückliche Familie!</i>
		11.af.7^		<i>далее</i>|<i>fortfahren</i>

	11.af.7@21@b-alisacome-15@Ну всё, мальчики и девочки, мне пора спать. Да и вам тоже... Хорошо сегодня порезвились... Надеюсь, вам понравилось?|Das reicht, Jungs und Mädchen, ich gehe ins Bett. Ich hatte heute eine gute Zeit. Ich hoffe, es hat euch auch gefallen.
		11.af.8a^		Мне - очень!|Ich habe es geliebt!
		inl=0&11.af.8b^	Ну ничего так...|Eh, es war okay.
		inl>0&11.af.8c^	Ну ничего так...|Eh, es war okay.

	11.af.8a@41@Мне тоже... Даже так, в попку... Если честно, то даже не представляю как это будет по-настоящему...|Mir auch.... Sogar anal.... Ich kann mir nicht vorstellen, wie gut es sich normal anfühlen muss....
		11.af.8a.2^		Может быть, обсудим это?|Wir können darüber reden, wenn du willst.

	11.af.8a.2@43@Может быть, но в другой раз... Не всё сразу. К тому же, ты уже получил всё, что хотел, верно?|Ein anderes Mal, vielleicht.... Außerdem, hast du deinen heute nicht schon genug bekommen?
		11.af.8^		Ага...|Richtig...

	11.af.8b@50@Ничего так? Ну ты хам, Макс! Накачал мою попку спермой и... «ничего так»? В следующий раз будешь стоять и дрочить, глядя на нас!|Was!? Also hast du mein Arschloch mit deiner Ficksahne gefüllt und jetzt war es "okay"? Nächstes Mal schaust du nur zu und holst dir einen runter!
		11.af.8d^		Извини...|Es tut mir leid.

	11.af.8c@50@Ничего так? А пыхтел так, как будто очень даже «чего так». Да ещё и всю попку спермой измазал. В следующий раз будешь стоять в стороне и смотреть, раз «ничего так»!|"Okay"? Also ist das ganze Zeug, das du mir auf den Arsch geschossen hast, jetzt einfach "okay"? Nächstes Mal schaust du zu und holst dir einen runter!
		11.af.8d^		Извини...|Es tut mir leid.

	11.af.8d@43@Ага, испугался? Вот и правильно! Ну всё, я тоже хочу спать...|Das sollte es besser auch! Jetzt lass uns schlafen gehen, ich bin müde.
		11.af.8^		Ага...|Sicher

	11.af.8@25@Буду ждать следующего раза с нетерпением! Ну всё, спокойной ночи вам...|Ich kann es kaum erwarten! Gute Nacht, alle zusammen.
		leave!set_dcd.sub_4!max_cam.0.grow_300^		Спокойной ночи!|Gute Nacht



# --- 0.11: Основное ответвление веб-шоу, Алиса доминирует

	11.ba.0@21@Очень хорошо... В таком случае, беги за Лизой!|Schön, das zu hören. Jetzt geh und hol Lisa!
		webrules<2&11.ba.1^		Э... Зачем?|Em... Warum?
		webrules=2&11.ba.25^	Ага...|Okay
		webrules=3&11.ba.41^	Конечно!|Sicher!
		webrules>3&11.bb.0^		Я быстро!|Ich bin gleich wieder da!
		webrules>3&11.bf.0^		Давай сегодня без Лизы?|Vielleicht sollten wir etwas Spaß ohne sie haben?

	11.bf.0@25@Ну... Ладно. Конечно, наблюдать за вами прикольно, но и с тобой потрахаться тоже хорошо... Тогда чего стоишь? Снимай шорты!|Klar. Ich liebe es, euch beide zu sehen, aber es macht auch Spaß, euch beide zu ficken. Worauf wartest du noch? Zieh deine Shorts aus!
		07.ach.2^		<i>снять шорты</i>|<i>Hode ausziehen</i>

	11.ba.1@25@Как зачем? Вы же теперь мои лучшие игруш... друзья! А значит, вы можете... нет, просто обязаны мне помочь с шоу! Ну всё, беги за Лизой!|Was meinst du mit "warum"? Jetzt, da du mein Lieblingsstück bist.... Ich meine Spielkameraden, ihr müsst mir mit meinen Streams helfen! Jetzt geh und hol Lisa!
		11.ba.2^		Ладно...|Schön

	11.ba.2@41@b-alisatrio-1@Алиса, что-то случилось? Макс мне ничего толком не рассказал... И почему ты голая?|Ist etwas passiert, Alice? Max hat mir nichts gesagt. Und warum bist du nackt?
		11.ba.3^		<i>далее</i>|<i>fortfahren</i>

	11.ba.3@25@Работала, вот и голая... Кстати, вы тоже раздевайтесь. И без лишних разговоров! У меня на вас большие планы...|Ich bin nackt, weil ich arbeite. Du solltest dich auch ausziehen, du wirst jetzt mitmachen.
		11.ba.4^		<i>раздеться</i>|<i>ausziehen</i>

	11.ba.4@21@b-alisatrio-2@Какие послушные... Очень хорошо. А тепереь присаживайтесь на кровать, будете зарабатывать для меня деньги.|So gehorsam.... Gut. Jetzt setz dich aufs Bett, du wirst etwas Geld für mich verdienen.
		11.ba.5^		Ты бы пояснила Лизе о чём речь...|Du solltest Lisa vielleicht erklären, was zu tun ist

	11.ba.5@33@b-alisatrio-3@Да, точно. В общем, у меня есть своё веб-шоу, где я делаю всякое разное для зрителей за деньги... Но теперь у меня есть вы и у меня есть идея...|Richtig. Ich habe einen Stream-Kanal, wo ich bestimmte Dinge für Geld mache. Und jetzt, wo wir uns alle so nahe stehen, warum nicht auch ihr zwei?
