# --- Разговор с мамой по поводу инцидента в ванной|Gespräch über die Veranstaltung im Bad

		leave!set_dcd.momas_1!set_momas_1!add_mom.mood_100!add_mom.rep_1^			С удовольствием, мам!|Mit Vergnügen, Mom!



# --- 0.4: Массаж для мамы, она в одежде, повторяем пока у Макс не получится 3 раза удачно сделать массаж с высоким шансом.|regelmäßige Beinmassage, wird wiederholt, bis Max es dreimal macht.

	mom.m.2.step.2@75@n-rest-0@Ой, я думала, ты и не предложишь. Ты в прошлый раз так хорошо мне ножки помассировал, что я буду очень рада, если ты это повторишь...|Ich dachte nicht, dass du es anbieten würdest. Du warst letztes Mal so toll, dass ich froh bin, wenn du es wieder tust....
		mom.m.2.step.3^				С удовольствием, мам!|Mit Vergnügen, Mom!

	mom.m.2.step.3@67@n-mm-0-0@Ну, давай, посмотрим на что ты способен...|Okay, mal sehen, was du hast....
		random.massage.5=1&mom.m.2.step.4.good^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]
		random.massage.5=0&mom.m.2.step.4.bad^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]

	mom.m.2.step.4.bad@69@<color=orange><i>Маме не понравился массаж!</i></color>\nОй, Макс... Нет, в этот раз не так хорошо... Что-то даже мышцы немного больно стало. Давай в другой раз продолжим... Но всё равно спасибо!|<color=orange><i>Mom mochte die Massage nicht!</i></color>\nAu, Max.... Diesmal nicht so gut, fürchte ich.... Ich glaube, meine Muskeln tun jetzt sogar ein bisschen weh. Vielleicht machst du es nächstes Mal besser.... Aber trotzdem vielen Dank!
		leave!set_dcd.momas_1^			Извини...|I'm sorry

	mom.m.2.step.4.good@75@<color=lime><i>Маме понравился массаж!</i></color>\nОй, Макс! Это чудесно... Как хорошо, что ты у меня есть... Мне очень понравилось... Буду ждать следующего раза!|<color=lime><i>Mom mochte die Massage!</i></color>\nOh, Max! Das ist wunderbar.... Ich bin so froh, dich zu haben.... Ich habe es sehr genossen.... Ich warte auf ein nächstes Mal!
		leave!add_momas_1!set_dcd.momas_1^			Я тоже!|Ich auch!



# --- 0.4: Макс предлагает массаж не только ног|Max schlägt etwas anderes als eine Beinmassage vor.

	mom.m.3.step.2@75@n-rest-0@Идея отличная, Макс! Но сегодня что-то не хочется. Моим ножкам уже хорошо...|Das ist eine tolle Idee, Max, aber meine Beine sind schon in Ordnung.
		mom.m.3.step.3^				Я умею не только ножки массировать!|Ich kann etwas anderes massieren, wenn du willst!

	mom.m.3.step.3@62@И чему ещё тебя могли научить в этом твоём интернете? Боюсь представить даже...|Was zum Beispiel? Ich habe Angst, mir vorzustellen, was Du im Internet gelernt haben....
		mom.m.3.step.4^				Массаж спины, например...|Wie wär's mit einer Rückenmassage?

	mom.m.3.step.4@73@Обожаю массаж спины... Но я не уверена, что у тебя хватит силы, да и тут нужна долгая практика, как мне кажется... Но хорошо, в следующий раз попробуем, раз ты говоришь, что и это умеешь.|Ich liebe es.... Aber ich bin mir nicht sicher, ob du stark genug bist, und ich denke, du solltest zuerst viel Übung haben.... Aber wir versuchen es nächstes Mal, okay?
		leave!set_momas_5!set_dcd.momas_1!momtowelrest!set_poss.guest_10!time^		Ты не пожалеешь!|Du wirst es nicht bereuen.



# --- 0.4: Мама отдыхает в полотенце|Mom ruht sich in einem Handtuch aus.

	mom.m.5.step.2@75@n-rest-2@Ты говорил, что можешь сделать массаж спины. Вот я и подумала, что не стоит переодеваться после ванной... Но если я тебя смущаю в таком виде, могу одеться...|Du hast gesagt, du willst meinen Rücken massieren, also habe ich mich nach dem Baden nicht umgezogen.... Aber wenn du dich unwohl fühlst, kann ich das ändern.
		mom.m.5.step.3^				Всё в порядке, мам!|Alles in Ordnung, Mom!

	mom.m.5.step.3@67@Очень хорошо. Тогда я готова. Но можешь начать с ножек. Мне нравится, как ты это делаешь...|Okay, dann bin ich bereit. Du kannst mit meinen Beinen anfangen, ich mag es wirklich, wie du sie massierst....
		mom.m.5.step.4^				Конечно!|Natürlich!

	mom.m.5.step.4@4@n-mm-1-1@<i>Обалдеть! Мама в одном полотенце! Интересно, на ней есть хотя бы трусики? Как бы заглянуть так, чтобы она не заметила... А ведь смотрит прямо на меня...</i>|<i>Mom ist unter einem Handtuch! Ich frage mich, ob sie Unterwäsche bei sich hat. Ich würde gerne gucken, aber sie schaut mich an....</i>
		random.massage.5=1&mom.m.5.step.5.good!max_poss.guest_12^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]
		random.massage.5=0&mom.m.5.step.5.bad!max_poss.guest_11^			<i>продолжить</i> [skill.massage_5]|<i>fortsetzen</i> [skill.massage_5]

	mom.m.5.step.5.bad@62@<color=orange><i>Маме не понравился массаж!</i></color>\nКажется, ты сегодня не в духе... Что-то отвлекаешься не на то. Давай в другой раз продолжим. Хорошо?|<color=orange><i>Mom mochte die Massage nicht!</i></color>\nSieht aus, als wärst du heute zu abgelenkt. Lass es uns ein anderes Mal versuchen, okay?
		leave!set_dcd.momas_1^							Хорошо...|Okay...

	mom.m.5.step.5.good@75@<color=lime><i>Маме понравился массаж!</i></color>\nОх, Макс... Очень хорошо... Такая лёгкость. Да, у тебя талант!|<color=lime><i>Mom mochte die Massage!</i></color>\nOh, Max.... Sehr gut.... Ich fühle mich so leicht. Du bist ein Naturtalent!
		mom.m.5.step.6^									Ну что, теперь спина? Я делаю это превосходно!|Also, machen wir jetzt deinen Rücken? Du wirst es lieben!

	mom.m.5.step.6@69@Даже так? Ого... Но нет, Макс. Я передумала... Я почти голая под полотенцем и не хочу тебя смущать. Вообще, надо было одеться... Давай в другой раз...|Sehr verlockend, aber.... Nein, Max. Ich habe meine Meinung geändert.... Ich bin fast nackt unter dem Handtuch und ich will dich nicht in eine unangenehme Lage bringen. Ich sollte mich anziehen.... Versuchen wir ein anderes Mal......
		mom.m.5.step.7^									Мам! Массаж только так и делают. Я точно знаю!|Mom, so soll die Massage sein, das sage ich dir!

	mom.m.5.step.7@73@Откуда? Разве тебе делали массаж где-то? Ах да, интернет, онлайн, всё такое... Ладно. В любом случае, всё получается у тебя просто отлично. Может быть я и созрею попробовать твой знаменитый массаж спины...|Woher weißt du das? Hast Du dich schon mal massieren lassen? Oh, richtig, das Internet.... Gut. Du machst das toll, vielleicht stimme ich deiner sagenhaften Massage eines Tages zu....
		leave!set_momas_6!set_dcd.momas_1^				Хорошо...|Okay...



# --- 0.4: Повторная попытка сделать массаж спины|ein weiterer Versuch, Anns Rücken zu massieren.

	mom.m.6.step.2@75@n-rest-2@Ну, давай попробуем... Я могу одеться, если тебя смущаю, а то в прошлый раз ты... отвлекался...|Okay, versuchen wir es. Ich kann etwas anziehen, wenn du willst. Letztes Mal warst du.... abgelenkt....
		mom.m.6.step.3^			Да не надо, всё в порядке!|Nee, ist schon gut.

	mom.m.6.step.3@67@Точно? Ну хорошо, давай приступим... Пожалуй, ножки, как всегда...|Wenn Du meinen.... Beginnen wir mit den Beinen, wie immer....
		mom.m.6.step.4^			С радостью!|Gerne!

	mom.m.6.step.4@75@n-mm-1-1@Ой, как здорово... Такие нежные, но сильные руки. Ты уже настоящий мужчина!|Das ist großartig.... Deine Hände sind weich, aber stark. Du bist zu einem guten Mann herangewachsen, Max!
		mom.m.6.step.5^			Ну что, теперь спину?|Also, was ist jetzt mit der Rückseite?

	mom.m.6.step.5@69@Ну... Ладно, уговорил. Только не глазей на меня, пожалуйста, я смущаюсь. Хорошо?|Gut, du hast mich überzeugt. Aber starre nicht zu sehr, bitte, ich bin schüchtern.
		mom.m.6.step.6^			Хорошо, мам. Ложись на живот и снимай полотенце.|Okay, Mom. Leg dich auf den Bauch und lass das Handtuch fallen.

	mom.m.6.step.6@4@n-mms-2a@<i>Вау... Какой шикарный зад у моей мамы! А ещё я могу не только на него смотреть, но и трогать! Правда, всё может сразу закончится, если мама поймёт, что я её лапаю... но могу же!</i>|<i>Wow.... Mom hat so einen schönen Arsch! Und ich kann nicht nur sehen, was ich will, sondern auch anfassen! Mom wird alles aufhalten, wenn sie merkt, dass ich sie nur betatschen will, aber ich muss vorsichtig sein.</i>
		random.eromas.4=1&max.imp=0&mom.m.6.step.7.good.s!add_skill.eromas_5^		<i>массаж спины</i> [skill.eromas_4]|<i>massiere Mom's Rücken </i> [skill.eromas_4]
		random.eromas.4=1&max.imp=1&mom.m.6.step.7.good.i!add_skill.eromas_5^		<i>массаж спины</i> [skill.eromas_4]|<i>massiere Mom's Rücken </i> [skill.eromas_4]
		random.eromas.4=0&max.imp=0&mom.m.6.step.7.bad.s^							<i>массаж спины</i> [skill.eromas_4]|<i>massiere Mom's Rücken </i> [skill.eromas_4]
		random.eromas.4=0&max.imp=1&mom.m.6.step.7.bad.i^							<i>массаж спины</i> [skill.eromas_4]|<i>massiere Mom's Rücken </i> [skill.eromas_4]

	mom.m.6.step.7.bad.s@62@n-mms-3a@<color=orange><i>Маме не понравился массаж!</i></color>\nОй, нет, Макс... Твой хвалёный массаж не так хорош, как ты рекламировал... Думаю, надо прекратить...|<color=orange><i>Mom mochte die Massage nicht!</i></color>\nAu, hör auf, Max. Deine Massage ist nicht so gut, wie du gesagt hast.... Ich denke, wir sollten aufhören.
		mom.m.6.step.8.s^				Как скажешь...|Wenn du das sagst....

	mom.m.6.step.7.bad.i@62@<color=orange><i>Маме не понравился массаж!</i></color>\nОй, нет, Макс... Твой хвалёный массаж не так хорош, как ты рекламировал... Думаю, надо прекратить...|<color=orange><i>Mom mochte die Massage nicht!</i></color>\nAu, hör auf, Max. Deine Massage ist nicht so gut, wie du gesagt hast.... Ich denke, wir sollten aufhören.
		mom.m.6.step.8.i^				Как скажешь...|Wenn du das sagst....

	mom.m.6.step.7.good.s@75@n-mms-3a@<color=lime><i>Маме понравился массаж!</i></color>\nДа, Макс... Ты знаешь как сделать приятно... Всмысле, у тебя получается очень хорошо... Как будто сходила к профессионалу...|<color=lime><i>Mom mochte die Massage!</i></color>\nJa, Max.... Du weißt, wie es gefällt.... Ich meine, deine Massage ist sehr gut.... Fühlt sich an wie eine professionelle Massage....
		mom.m.6.step.8.s^				Спасибо...|Danke

	mom.m.6.step.7.good.i@75@<color=lime><i>Маме понравился массаж!</i></color>\nДа, Макс... Ты знаешь как сделать приятно... Всмысле, у тебя получается очень хорошо... Как будто сходила к профессионалу...|<color=lime><i>Mom mochte die Massage!</i></color>\nJa, Max.... Du weißt, wie es gefällt.... Ich meine, deine Massage ist sehr gut.... Fühlt sich an wie eine professionelle Massage....
		mom.m.6.step.8.i^				Спасибо...|Danke

	mom.m.6.step.8.s@68@n-mm-2-2@Макс! Это что такое?! Как тебе не стыдно! У тебя встал на собственную маму! И что у тебя только в голове? Так, ладно, потом поговорим.|Max! Was ist das denn!? Schämen Sie sich nicht? Du bist hart bei deiner eigenen Mutter geworden! Was hast du dir dabei gedacht? Geh, wir reden später darüber.
		leave!add_mom.mood_-100!set_dcd.momas_1!set_can.momtalk.momas_1!set_mom.talkcooldown_5!lock_momroom_2!time^			Ладно, извини, я не специально...|Okay. Es tut mir leid, Mom, ich mache das nicht mit Absicht.

	mom.m.6.step.8.i@67@Ну всё, Макс. Думаю, на сегодня хватит. Спасибо тебе за помощь!|Okay, Max, ich denke, es reicht für heute. Danke für Ihre Hilfe!
		leave!set_dcd.momas_1!time^			Конечно, мам...|Natürlich, Mom.



# --- 0.4: Первый массаж, где мама без нижнего белья|erste Massage ohne Höschen

	mom.m.7.step.2@75@n-rest-2@Хорошо, я готова. Только хочу тебя сразу предупредить, я сегодня не надела трусики. Так что, не удивляйся и старайся не смотреть под полотенце. Хорошо?|Okay, ich bin bereit. Aber ich will dich nur warnen, ich trage heute kein Höschen. Also sei nicht überrascht und versuche nicht unter mein Handtuch zu schauen, okay?
		mom.m.7.step.3!max_poss.guest_13^				Э... А... Ну... Да...|Emmm.... Ohhhh.... Ja.... Sicher.

	mom.m.7.step.3@67@Макс, с тобой точно всё в порядке? Мы же с тобой об этом говорили, помнишь? Если ты передумал, я могу полностью одеться, чтобы тебя не смущать... Видимо, это была плохая идея...|Bist du sicher, dass es dir gut geht, Max? Erinnerst du dich an unser Gespräch? Ich kann etwas anziehen, wenn es dir peinlich ist. Ich schätze aber, es war eine schlechte Idee....
		mom.m.7.step.4^				Нет, нет, мам, всё в порядке!|Nein, nein, nein, alles in Ordnung, Mom!

	mom.m.7.step.4@69@Точно? Просто я себя чувствую как-то необычно... Смесь стыда и... Не важно. В общем, давай приступим...|Bist Du sicher? Ich fühle mich seltsam.... Mischung aus Scham und.... Vergiss es. Wie auch immer, fangen wir an....
		mom.m.7.step.5^				<i>начать массаж</i>|<i>Massage beginnen</i>

	mom.m.7.step.5@4@n-mm-1-2@<i>Вот это да! Мама абсолютно голая, в одном полотенце и я почти всё вижу! Это просто праздник какой-то! Ну-ка, что там у неё...</i>|<i>Ich kann es nicht glauben! Mom ist nichts weiter als ein Handtuch und ich kann fast alles sehen! Das ist ein Wunder! Ich möchte einen Blick darauf werfen....</i>
		max.imp=0&mom.m.7.step.6a^				<i>заглянуть под полотенце</i>|<i>schau unter das Handtuch</i>
		max.imp=1&mom.m.7.step.6b^				<i>заглянуть под полотенце</i>|<i>schau unter das Handtuch</i>

	mom.m.7.step.6a@62@n-mm-3-2@Макс! Ну я же тебя просила не заглядывать под полотенце! Как тебе не стыдно! Всё, на сегодня массаж окончен! Ещё и перевозбудился опять...|Max! Ich habe dir gesagt, du sollst nicht unter das Handtuch schauen! Wie konntest du das tun? Das war's, die Massage ist vorbei! Und du bist wieder hart....
		mom.m.7.step.7^							Я не заглядывал!|Ich habe nicht geguckt!

	mom.m.7.step.6b@62@n-mm-3-1@Макс! Ну я же тебя просила не заглядывать под полотенце! Как тебе не стыдно! Всё, на сегодня массаж окончен!|Max! Ich habe dir gesagt, du sollst nicht unter das Handtuch schauen! Wie konntest du das tun? Das war's, die Massage ist vorbei!
		mom.m.7.step.7^							Я не заглядывал!|Ich habe nicht geguckt!

	mom.m.7.step.7@72@А мне вот показалось, что очень даже заглядывал...|Da bin ich mir ziemlich sicher.
		mom.m.7.step.8^							Если ты сама всё скрываешь, конечно мне будет интересно! Ты же сама говорила!|Hast du nicht gesagt, dass du wirklich alles zeigen willst? Wenn du alles unter dem Handtuch versteckst, werde ich natürlich neugierig sein!

	mom.m.7.step.8@69@Хм... Ладно. Кажется, ты прав. Ну что, увидел меня голой? Доволен? Это как-то поможет тебе больше не думать всякое такое?|Hmmm.... Gut, vielleicht hast du Recht. Also, hast du mich nackt gesehen? Wird es dir helfen, nicht ständig an alles Mögliche zu denken?
		mom.m.7.step.9^							К-конечно!|Na-Natürlich!

	mom.m.7.step.9@67@Ну, хорошо. На сегодня, думаю, мы закончили. Спасибо за массаж. И... извини меня, я по привычке так реагирую. Не хотела тебя задеть...|Nun, okay. Ich denke, das reicht für heute. Danke für die Massage. Und.... Es tut mir leid für meine übliche Reaktion, ich wollte dir nicht wehtun....
		mom.m.7.step.10^						Да всё в порядке, мам! Кстати, отлично выглядишь!|Alles in Ordnung, Mom! Du bist übrigens wunderschön!

	mom.m.7.step.10@75@Отлично. Я рада, что мы разобрались... И спасибо тебе за комплимент. Не представляю что подумал бы тот, кто нас увидел бы вот так...|Okay. Ich bin froh, dass wir das alles hinter uns lassen können.... Und danke für das Kompliment. Ich kann mir nicht vorstellen, was die Leute denken würden, wenn sie uns jetzt sehen würden....
		leave!set_momas_8!set_dcd.momas_1!time^			Хорошо, что нас никто не видит...|Es ist gut, dass uns dann niemand sehen kann.



# --- 0.4: Основной периодический эвент с массажем|Hauptperiodische Massage

	mom.m.8.step.2@75@n-rest-2@Жду не дождусь, Макс!|Ich kann es kaum erwarten, Max!
		mom.m.8.step.3^			Тогда не будем терять время|Dann lass uns keine Zeit verschwenden.

	mom.m.8.step.3@67@Ты прав. На всякий случай сразу говорю, что я трусики не надела после душа, так что...|Du hast Recht. Wie immer trage ich kein Höschen, also....
		mom.m.8.step.4^			Без проблем!|Kein Problem!

	mom.m.8.step.4@4@n-mm-1-2@<i>Кажется, мне любой массажист позавидовал бы... Только подумать! Голая мама не стесняется своего сына... А ведь я ещё и потрогать всё могу... И не только могу, но и должен!</i>|<i>Jede Masseuse wäre gerne an meiner Stelle.... Denk einfach darüber nach! Nackte Mutter schämt sich nicht für ihren Sohn.... Und ich kann sie anfassen! Und das tue ich!</i>
		max.imp=0&mom.m.8.s.1^				Ложись на живот...|Leg dich auf den Bauch.
		max.imp=1&mom.m.8.i.1^				Ложись на живот...|Leg dich auf den Bauch.

	mom.m.8.i.1@6@n-mms-2b@<i>Блин... Полностью голая мама! Это ж то, о чём я мечтал... Вот только почему меня это не возбуждает? Фигня какая-то...</i>|<i>Meine Mutter ist völlig nackt! Das ist alles, wovon ich geträumt habe.... Warum bin ich dann nicht hart? Das ist Blödsinn....</i>
		mom.m.8.i.2^						<i>закончить</i>|<i>beenden</i>

	mom.m.8.i.2@75@n-mm-3-1@Спасибо тебе, Макс! Массаж был просто чудесный! О. Я смотрю, совет Киры действует... Ты ни капли не возбуждён, несмотря на то, что я перед тобой абсолютно голая! Отличный прогресс!|Danke, Max. Das ist wunderbar! Sieht so aus, als ob Kiras Ratschlag funktioniert. Obwohl ich ganz nackt vor dir stehe, bist du gar nicht aufgeregt! Das ist ein großer Fortschritt!
		mom.m.8.i.3^						Да, видимо...|Ich schätze....

	mom.m.8.i.3@67@Ну, я рада. Ещё раз спасибо тебе большое за твой массаж. Буду ждать следующего раза!|Nun, ich bin froh. Nochmals vielen Dank für deine Massage, ich warte auf das nächsten Mal!
		leave!set_dcd.momas_1^				Не за что!|Gern geschehen

	mom.m.8.s.1@3@n-mms-3b@<i>О да... Киска моей мамы... Интересно, если я к ней прикоснусь как бы случайно, мне влетит? Или... Не, не стоит. Но я могу попробовать помассировать её аппетитную попку!</i>|<i>Oh, ja.... Moms Muschi.... Ich frage mich, ob ich ihn "zufällig" anfassen werde, werde ich in Schwierigkeiten sein....? Ich sollte es nicht riskieren. Aber ich kann ihren saftigen Arsch massieren!</i>
		mom.m.8.s.2^						<i>массировать попку</i>|<i>massiere Mom's Arsch</i>

	mom.m.8.s.2@73@n-mms-1b@Макс, ты там не слишком увлёкся? Спина немножко выше...|Hast du etwas vergessen, Max? Mein Rücken ist etwas höher....
		mom.m.8.s.3^						Это тоже часть позвоночника...|Hier ist auch ein Teil deines Rückens....

	mom.m.8.s.3@72@Хорошо... Но смотри - сделаешь что-то не то, это будет последний массаж, который ты для меня делаешь... Не мог бы ты вернуться снова к спинке?|Okay.... Aber denke daran: Eine falsche Bewegung und es wird die letzte Massage sein, die Du mir geben hast. Könntest du bitte zu meinem Rücken zurückkehren?
		mom.m.8.s.4^						Конечно, конечно...|Sicher

	mom.m.8.s.4@75@n-mms-3b@Да, молодец, Макс... Мне очень нравится то что ты делаешь и как ты это делаешь... Тебе определённо нужно идти работать массажистом куда-нибудь. И польза и такой талант раскроешь людям...|Du machst das toll, Max, es macht mir wirklich Spaß, was du tust.... Du solltest deinen Lebensunterhalt als Masseur verdienen. Du solltest dein Talent mit anderen teilen....
		can.momhj=0&mom.m.8.s.5^			Всё это только для тебя!|Es ist alles nur für dich!
		can.momhj>0&momhj=0&05.mmas.0^		Всё это только для тебя!|Es ist alles nur für dich!
		can.momhj>0&momhj>0&05.mmas2.0^	Всё это только для тебя!|Es ist alles nur für dich!

	mom.m.8.s.5@68@n-mm-3-2@Спасибо, конечно... Ну, я думаю хватит... Ой, Макс... Ты опять?|Danke, Max.... Nun, ich denke, das reicht für heute.... Oh, Max.... Schon wieder?
		mom.m.8.s.6^						Гормоны, помнишь?|Hormone, weißt du noch?

	mom.m.8.s.6@62@Да про них забудешь тут... Ладно. Ещё раз спасибо. Мне очень понравилось... И прикройся, а то... Ой, да и мне самой тоже не помешает что-то накинуть...|Wie konnte ich vergessen, dass diese Erinnerung die ganze Zeit auftauchte.... Gut, danke nochmal, es hat mir sehr gut gefallen.... Bedecken dich, bitte. Und ich sollte auch etwas anziehen....
		leave!add_mom.mood_100!set_dcd.momas_1!time^			Ага...|Ja



# --- 0.4: Разговор с мамой насчёт стояка Макса во время массажа|Gespräch über einen Massageständer

	mom.talkaboutmomas.init@0@Мам, я хотел извиниться за массаж...|Ich wollte mich für die Massage entschuldigen....
	mom.talkaboutmomas@62@Макс, давай не будем об этом...|Lass uns einfach nicht darüber reden, Max.
		momtalk.momas=0&mom.talkaboutmomas.1.step.2^						Просто, я...|Es ist nur, ich....
		momtalk.momas>0&momtalk.momas<4&mom.talkaboutmomas.2.step.2^		Я не смог ничего поделать...|Es gab nichts, was ich tun konnte....
		momtalk.momas=4&mom.talkaboutmomas.3.step.2^						Но...|Aber...



# --- 0.4: Первый разговор после массажа, у Макса стояк|Erstes Gespräch nach der Massage, Max hat einen Ständer.

	mom.talkaboutmomas.1.step.2@60@Макс, я думаю, что тебе не следует больше делать массаж. Я практически голая перед своим сыном - это очень неправильно!|Ich denke nicht, dass du eine Massage machen solltest, Max. Ich bin praktisch nackt vor meinem Sohn, das ist sehr falsch!
		mom.talkaboutmomas.1.step.3^		Да тут дело не в тебе...|Es ist nicht deine Schuld....

	mom.talkaboutmomas.1.step.3@62@Не во мне? Значит, в тебе? И что мы будем с этим делать? Закроем глаза на то, что мой сын возбуждается при виде своей мамы?|Heißt das, es ist deine Schuld? Was sollen wir dann tun? Ich kann nicht einfach ignorieren, dass du hart wirst, nachdem du mich gesehen hast.
		mom.talkaboutmomas.1.step.4^		Это гормоны!|Es sind nur Hormone!

	mom.talkaboutmomas.1.step.4@60@Допустим. Но что это меняет? Нет, Макс, это всё плохая идея...|Okay. Aber das ändert nichts. Das ist eine schlechte Idee, Max....
		mom.talkaboutmomas.1.step.5^		Ну у меня же нет девушки... И это всё как-то само...|Ich habe einfach keine Freundin, das passiert automatisch....

	mom.talkaboutmomas.1.step.5@69@Понимаю тебя, Макс... Но это никак не влияет на ситуацию. Ты возбуждаешься, а я чувствую себя очень неловко...|Ich verstehe dich, Max, aber das ändert nichts an der Situation, du wirst hart und ich fühle mich peinlich....
		mom.talkaboutmomas.1.step.6^		Да я всё время и на всё возбуждаюсь. Что, теперь ни с кем не общаться?|Ich werde die ganze Zeit hart! Was soll ich tun, mit niemandem interagieren?

	mom.talkaboutmomas.1.step.6@62@Ну, хорошо. Что ты предлагаешь мне делать? Просто закрывать глаза на твой... на твоё... Кроме того, это же очень вредно, когда ты так возбуждаешься и не получаешь необходимую разрядку...|Okay, ich verstehe was du meinst. Aber was soll ich tun? Ich kann nicht einfach deine.... Und übrigens, ist es nicht schlecht für die Gesundheit? Hart werden und den Druck nicht ablassen?
		mom.talkaboutmomas.1.step.7^		Ну, это другой вопрос...|Nun, es ist eine andere Frage....

	mom.talkaboutmomas.1.step.7@60@Ты знаешь, это вопрос твоего здоровья. И если этот массаж - лишний повод для твоего перевозбуждения, то... Я не знаю, Макс...|Ich sorge mich um deine Gesundheit, Max. Wenn dich diese Massage erregt, dann ist es meine Schuld, wenn du krank wirst oder so....
		mom.talkaboutmomas.1.step.8^		Может быть, если я привыкну, то не буду так возбуждаться...|Vielleicht gewöhne ich mich daran und höre auf, aufgeregt zu sein....

	mom.talkaboutmomas.1.step.8@62@Привыкнешь видеть меня почти голой? Да уж, сомнительное лечение... Но может быть ты и прав. Ладно, убедил. Давай ещё попробуем, но если это будет повторяться, то мы прекратим это всё. Хорошо?|Das ist eine zweifelhafte Lösung, aber vielleicht hast Du recht.... Gut, du hast mich überzeugt. Versuchen wir's noch mal. Aber wenn du weiter so hart wirst, hören wir auf, okay?
		leave!set_can.momtalk.momas_0!set_momtalk.momas_1!add_mom.mood_50^		Конечно, мам!|Sicher, Mom!



# --- 0.4: Периодический разговор после массажа, у Макса стояк|Periodische Konversation nach der Massage, Max hart ist.

	mom.talkaboutmomas.2.step.2@60@Макс. Я тебе уже говорила, что это всё очень неправильно. Похоже, идея насчёт того, что ты можешь привыкнуть, не работает...|Ich habe dir schon gesagt, dass das sehr falsch ist, Max. Ich glaube nicht, dass deine Idee mit der Gewöhnung funktioniert....
		mom.talkaboutmomas.2.step.3^		Ну это же не сразу... Нужно время...|Es kann nicht einfach über Nacht passieren, ich brauche mehr Zeit....

	mom.talkaboutmomas.2.step.3@62@Ну не знаю, Макс... Мне кажется, надо всё это прекратить...|Ich weiß nicht, Max, ich denke daran, das alles zu beenden....
		random.social.2=1&mom.talkaboutmomas.2.step.4.good^		Мам, ну ещё один шанс! [skill.social_2]|Gib mir noch eine Chance, Mom! [skill.social_2]
		random.social.2=0&mom.talkaboutmomas.2.step.4.bad^		Мам, ну ещё один шанс! [skill.social_2]|Gib mir noch eine Chance, Mom! [skill.social_2]

	mom.talkaboutmomas.2.step.4.bad@60@<color=orange><i>Убеждение не удалось!</i></color>\nНет, Макс. Я ещё подумаю. Но что-то сомневаюсь, что это всё хорошая идея...|<color=orange><i>Überzeugung fehlgeschlagen!</i></color>\nNein, Max. Ich werde noch etwas nachdenken, aber ich bezweifle, dass das eine gute Idee ist....
		leave!set_mom.talkcooldown_12^		Ну, подумай ещё...|Okay, ich gebe dir etwas Zeit....

	mom.talkaboutmomas.2.step.4.good@73@<color=lime><i>Убеждение удалось!</i></color>\nНу ладно, дам тебе шанс. В конце концов, рано или поздно ты перестанешь перевозбуждаться в моём присутствии, верно?|<color=lime><i>Überzeugung erfolgreich!</i></color>\nOkay, du kannst es versuchen. Früher oder später musst du dich an mich gewöhnen, oder?
		mom.talkaboutmomas.2.step.4.good.2^		Верно!|Richtig!

	mom.talkaboutmomas.2.step.4.good.2@62@Хорошо. Тогда попробуем ещё, как будет подходящий момент...|Okay, wir versuchen es weiter, wenn die Zeit reif ist....
		leave!set_can.momtalk.momas_0!add_momtalk.momas_1!add_mom.mood_50^		Конечно, мам!|Natürlich, Mom!



# --- 0.4: Мама смиряется с тем, что у Макса стояк на неё|Ann gewöhnt sich an Max' Ständer.

	mom.talkaboutmomas.3.step.2@60@Макс. Я уже общалась с Кирой по поводу этого всего... Конечно, тогда мне её идея показалась глупой, но потом я подумала ещё и...|Max, ich habe mit Kira über all das gesprochen.... Ursprünglich dachte ich, dass ihre Idee dumm ist, aber dann habe ich ihr etwas gegeben und....
		mom.talkaboutmomas.3.step.3^		И?|Und?

	mom.talkaboutmomas.3.step.3@62@Кира сказала, что мужчины считают, что нет ничего менее сексуального, чем полностью голая женщина... И возбуждает сам факт, что что-то скрыто. Сексуальная одежда и прочее...|Kira sagte, Männer denken, es gibt nichts weniger sexy als eine komplett nackte Frau. Die Sexualität kommt von etwas Verborgenem, wie sexy Kleidung und so....
		mom.talkaboutmomas.3.step.4^		О как... Ну да, да, Кира права!|Huh.... ja-ja-ja-ja, Kira hat Recht!

	mom.talkaboutmomas.3.step.4@69@Кроме того, я подумала, что не буду тебя больше ругать за твою естественную реакцию. Однако, ты должен стараться держать себя в руках. Ты меня понимаешь?|Außerdem werde ich versuchen, nicht böse zu sein, weil du noch eine natürliche Reaktion hast. Aber du solltest trotzdem versuchen, dich in Schach zu halten, verstehst du?
		mom.talkaboutmomas.3.step.5^		Ну... да!|Oh... Ja!

	mom.talkaboutmomas.3.step.5@67@Хорошо. Я рада, что мы разобрались с этим.\n\n<color=lime><i><b>Внимание:</b> Ваши отношения улучшились</i></color>|Gut. Ich bin froh, dass wir uns darum gekümmert haben.\n\n<color=lime><i><b>Achtung:</b> Eure Beziehungen haben sich verbessert</i></color>
		leave!set_can.momtalk.momas_0!set_momas_7!add_mom.mood_100!add_mom.rep_1^			Я тоже очень рад!|Ich bin auch sehr froh!



