# --- 0.6: Первый визит Оливии и Алекса вместе, но не парой|lisa spricht Erste Olivia und Alex Besuch nach der Trennung

	06.tola.0@140@m-op-0@Приветик! Это мы. Думали, больше нас не увидите? А вот и нет!|Hallo, alle zusammen! Wir sind es. Dachtest du, du siehst uns nie wieder? Hier sind wir!
		06.oalo.5^		Я за! Давайте, кто быстрее разденется!|Sicher. Der Letzte, der sich auszieht, ist ein Lahmarsch!

	06.oalo.5@142@t-o-3@Легко! Кажется, ничья... Слушай, Лиза... А ты не будешь расстраиваться, что я с Максом, а ты... Ну, понимаешь?|Ruhig! Sieht aus wie ein Unentschieden. Also, Lisa.... Du hast nichts gegen Max und mich.... weißt du?
		06.oalo.6^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.6@40@Ой, не переживай. Я не хочу, чтобы из-за меня у Макса что-то обламывалось. Я рада, когда всё хорошо. К тому же, и на моей улице будет праздник.|Mach dir keine Sorgen. Ich will es Max nicht erschweren. Ich bin froh, dass es ihm gut geht. Außerdem, was sich herumspricht, kommt herum.
		06.oalo.7a^		Да хоть сегодня!|Und du kannst heute vorbeikommen, wenn du willst!
		06.oalo.7b^		Лиза - лучшая сестрёнка!|Lisa - beste Schwester!

	06.oalo.7a@43@Ну уж нет... Я не хочу быть третьей лишней...|Nein, ich will kein drittes Rad sein.
		06.oalo.7^		Третий не лишний. Третий - запасной!|Du wirst nur alles besser machen!

	06.oalo.7b@43@У тебя ещё Алиса есть. Она может обидеться. Хотя, да. Ты прав, я лучшая!|Hast du Alice nicht vergessen? Sie würde diese Art von Gespräch nicht mögen. Aber ich bin der Beste.
		06.oalo.7^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.7@143@t-o-5@Оу. Кажется, Макса эта тема излишне возбуждает. Я всегда замечала, что ты неравнодушен к своей младшей сестрёнке, а теперь... Хотя, я тебя понимаю. Мне Лиза тоже очень нравится. Ну, как подруга...|Wow, sieht so aus, als ob Max Junior sehr nervös ist, dass wir dieses Gespräch führen. Ich habe dein Interesse an deiner Schwester schon mal bemerkt, aber dieses.... Ich verstehe Sie aber. Ich mag Lisa auch sehr gern. Als Freund, meine ich....
		06.oalo.8^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.8@43@t-o-4@Ой, спасибо тебе, Оливия. Ты мне тоже очень нравишься. Хотя, со стороны наше признание выглядит неоднозначно. Особенно учитывая, что мы обе голые, да, Оливия?|Danke, Olivia. Ich mag dich auch sehr gern. Ich frage mich, wie dieses Gespräch von der Seite aussieht. Besonders, da wir beide nackt sind. Richtig, Olivia?
		06.oalo.9^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.9@143@t-o-6@А может быть, ты мне нравишься не только как подруга, но и немного больше... Ой. Макса эти разговоры точно возбуждают. Предлагаю окунуться в бассейн!|Vielleicht mag ich dich mehr als nur einen Freund.... Wow, Max mag diese Unterhaltung wirklich. Lass uns in den Pool gehen.
		06.oalo.10^		Давно пора!|Längst überfällig!

	06.oalo.10@141@t-o-7@Кстати, Лиза, а как ты относишься... к лесбиянкам?|Also, Lisa, was hältst du von Lesben?
		06.oalo.11^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.11@43@Ну... Я к ним не отношусь. В смысле, не против, если девушки в восторге друг от дружки, но... мне больше парни нравятся, если ты меня понимаешь...|Na ja...... Ich gehöre nicht dazu. Es macht mir nichts aus, wenn zwei Mädchen sich lieben, aber.... ich persönlich mag Jungs.
		06.oalo.12^		Вот это мне повезло!|Was bedeutet, dass ich Glück habe!

	06.oalo.12@143@А чего это тебе повезло? Я же твоя девушка! Забыл? Хотя, когда вы рядом друг с другом... То, как вы смотрите... меня даже немного заводит. А нет, вру. Сильно заводит!|Warum sind <i>wir</i> dann glücklich? Ich bin deine Freundin, weißt du noch? Obwohl, wie ihr euch gegenseitig anseht.... Es macht mich irgendwie an. Das macht mich ganz schön an!
		06.oalo.13^		А как мы смотрим друг на друга?|Wie wir uns gegenseitig ansehen?

	06.oalo.13@41@И ничего я на него не смотрю! Насмотрелась уже! Нравится Макс? Отлично! А у меня парень появится. В тысячу раз лучше Алекса, вот увидите!|Ich sehe ihn nicht an! Ich habe schon genug gesehen! Ich werde mir einen neuen Freund suchen, tausendmal besser als Alex!
		06.oalo.14^		Не сомневаюсь!|Natürlich

	06.oalo.14@143@Но будет ли он настолько хорош, как Макс? И ты понимаешь, о чём я, да?|Aber wird er so gut sein wie Max? Wenn du weißt, was ich meine....
		06.oalo.15^		<i>далее</i>|<i>fortfahren</i>

	06.oalo.15@41@Оливия, у тебя одно на уме! Может сменим тему? К тому же, прохладная вода как-то нейтрализовала магию Макса, так сказать...|Ich weiß, das ist alles worüber du redest, Olivia. Lass uns das Thema wechseln. Es sieht so aus, als hätte das kalte Wasser Max' Magie sowieso neutralisiert....
		06.oalo.16a^	Я сейчас тебя нейтрализую!|Sprich weiter und du wirst neutralisiert!
		06.oalo.16b^	Для тебя хватит и оставшейся магии!|Es gibt genug Magie für dich!

	06.oalo.16a@43@Ага, только нейтрализатор уже не так велик, как раньше!|Sicher, außer, dass dein Neutralisator nicht mehr so einschüchternd aussieht!
		06.oalo.16b^	Для тебя хватит и оставшегося!|Es ist genug für dich da!

	06.oalo.16b@142@Эй! Это мой парень и нейтрализатор тоже мой! Хотя, если будешь настаивать, то я разрешу ему с тобой поделиться, Лиза...|Hey! Das ist mein Freund und mein Neutralisator! Wenn du es so sehr willst, kann ich es dir mitteilen....
		06.oalo.16^		Ух!|Oh!

	06.oalo.16@43@Нет уж, я лучше посмотрю...|Nein, ich werde nur zusehen....
		06.oalo.17^		Значит, любишь смотреть?|Also, schaust du gerne zu?

	06.oalo.17@41@Так всё, хватит. У нас все разговоры об одном и том же. Может быть, пойдём спать?|Das ist genug. Jedes Gespräch dreht sich um das Gleiche. Wie wär's, wenn wir schlafen gehen?
		06.oalo.18^		Ну, если ты настаиваешь...|Wenn du darauf bestehst....

	06.oalo.18@43@Макс. Спать - значит спать! Вы, конечно, можете делать что хотите, но только не громко, а я буду спать...|Und Schlaf bedeutet Schlaf, Max! Ihr zwei könnt tun, was ihr wollt, solange ihr ruhig seid, aber ich werde schlafen.
		06.oalo.19^		Ну, пойдём...|Okay, lasst uns gehen

	06.oalo.19@41@t-ao-11@Всем спокойной ночи... ну или неспокойной, как хотите... Я спать.|Gute Nacht, alle. Ich bin weg.
		06.oalo.20^		Ага, тебе тоже...|Gute Nacht

	06.oalo.20@141@t-ao-10@Макс... Ты бы хоть минутку подождал... Накинулся сразу, как будто в первый раз...|Kannst nicht eine Minute warten, was, Max? Genau wie beim letzten Mal....
		06.oalo.21^		Ну, я соскучился...|Ich habe dich verMist.

	06.oalo.21@143@Не сомневаюсь, но... Лиза же ещё не уснула... Или ты хочешь, чтобы она смотрела, как ты меня будешь трахать?|Ich bin sicher, das hast du, aber Lisa schläft noch nicht.... Oder soll sie zusehen, wie du mich fickst?
		06.oalo.22^		Я не против...|Es macht mir nichts aus.

	06.oalo.22@142@Скажи, а тебя это тоже заводит? Ну, то что на тебя смотрят... Или может быть заводит именно сестрёнка?|Macht es dich auch an? Die Tatsache, dass du beobachtet wirst.... Oder vielleicht, weil es deine Schwester ist?
		06.oalo.23a^	Ну да, когда кто-то смотрит всегда интереснее...|Ja, beobachtet zu werden, macht es noch besser!
		06.oalo.23b^	У меня очень горячая сестрёнка... Она даже тебя заводит...|Meine Schwester ist extrem heiß, sogar du willst sie.
		06.oalo.23c^	Мне без разницы...|Es interessiert mich nicht wirklich.

	06.oalo.23a@141@Понимаю... Меня тоже. Кажется, ей тоже нравится и она начала себя ласкать... Но ты не отвлекайся, а то спугнёшь... Да, Макс, быстрее...|Genauso. Ich denke, es gefällt ihr auch und sie berührt sich selbst.... Aber schau nicht hin, wir wollen sie nicht erschrecken.... Ja, Max, schneller....
		06.oalo.23^		Как скажешь...|Okay

	06.oalo.23b@141@Ты прав... Я тоже не особо по девочкам, но тут особый случай. И то, что вы брат и сестра... Да... Макс, быстрее...|Du hast Recht. Ich stehe nicht wirklich auf Mädchen, aber das ist eine besondere Situation. Und die Tatsache, dass ihr Geschwister seid.... ja, Max, schneller....
		06.oalo.23^		Конечно...|Natürlich

	06.oalo.23c@141@Меня не обманешь, Макс... Вы так друг на друга смотрите. Да и её взгляд на тебе всё время ловлю... Вы явно очень близки и это меня особенно сильно заводит... Давай, Макс, быстрее...|Du kannst mir nichts vormachen, Max.... Ich sehe, wie ihr euch anseht.... Du bist sehr nah dran und es ist sehr erregend.... Schneller, Max....
